z_m,z_cm,B_T,B_mT,beam_radius_mm,s_local,eta_design,v_design_m_s,delta_eff_MHz
4.375249999999999972e-02,4.375250000000000306e+00,-4.459611502501360444e-03,-4.459611502501360292e+00,6.217758064516129224e+00,9.684775900515552038e-01,4.919932007080610736e-01,2.642384663333691606e+02,0.000000000000000000e+00
4.384500000000000203e-02,4.384500000000000064e+00,-4.443225321872887150e-03,-4.443225321872887434e+00,6.218354838709676535e+00,9.682917097940605400e-01,4.919452258910196885e-01,2.641469806139333514e+02,0.000000000000000000e+00
4.393749999999999739e-02,4.393749999999999822e+00,-4.426835062687056559e-03,-4.426835062687056954e+00,6.218951612903225623e+00,9.681058830455291364e-01,4.918972558262169059e-01,2.640554721234954059e+02,0.000000000000000000e+00
4.402999999999999969e-02,4.402999999999999581e+00,-4.410440720543699206e-03,-4.410440720543698845e+00,6.219548387096774711e+00,9.679201097854250868e-01,4.918492905136090942e-01,2.639639408374887353e+02,0.000000000000000000e+00
4.412250000000000200e-02,4.412250000000000227e+00,-4.394042291035473412e-03,-4.394042291035473724e+00,6.220145161290322910e+00,9.677343899932224769e-01,4.918013299531527327e-01,2.638723867313066762e+02,0.000000000000000000e+00
4.421499999999999736e-02,4.421499999999999986e+00,-4.377639769747887835e-03,-4.377639769747887932e+00,6.220741935483871110e+00,9.675487236484049403e-01,4.917533741448036344e-01,2.637808097803027181e+02,0.000000000000000000e+00
4.430749999999999966e-02,4.430749999999999744e+00,-4.361233152259249429e-03,-4.361233152259249124e+00,6.221338709677419310e+00,9.673631107304657695e-01,4.917054230885175570e-01,2.636892099597900483e+02,0.000000000000000000e+00
4.440000000000000197e-02,4.440000000000000391e+00,-4.344822434140645229e-03,-4.344822434140644951e+00,6.221935483870967509e+00,9.671775512189083601e-01,4.916574767842500915e-01,2.635975872450416091e+02,0.000000000000000000e+00
4.449249999999999733e-02,4.449250000000000149e+00,-4.328407610955924134e-03,-4.328407610955924412e+00,6.222532258064516597e+00,9.669920450932455447e-01,4.916095352319562739e-01,2.635059416112899271e+02,0.000000000000000000e+00
4.458499999999999963e-02,4.458499999999999908e+00,-4.311988678261722933e-03,-4.311988678261722718e+00,6.223129032258064797e+00,9.668065923330002587e-01,4.915615984315910292e-01,2.634142730337272837e+02,0.000000000000000000e+00
