z_m,B_T,target_region,z_mm,B_mT
-0.0030211267605633804,-0.001603492267494079,left_cubic_extension,-3.0211267605633805,-1.603492267494079
-0.0029295774647887327,-0.0015914776763730869,left_cubic_extension,-2.929577464788733,-1.591477676373087
-0.002838028169014085,-0.0015794614350812006,left_cubic_extension,-2.838028169014085,-1.5794614350812006
-0.0027464788732394357,-0.0015674435415323276,left_cubic_extension,-2.7464788732394356,-1.5674435415323276
-0.002654929577464788,-0.0015554239936403766,left_cubic_extension,-2.654929577464788,-1.5554239936403766
-0.0025633802816901405,-0.0015434027893192544,left_cubic_extension,-2.5633802816901405,-1.5434027893192543
-0.002471830985915493,-0.0015313799264828692,left_cubic_extension,-2.471830985915493,-1.5313799264828691
-0.0023802816901408452,-0.0015193554030451287,left_cubic_extension,-2.380281690140845,-1.5193554030451288
-0.0022887323943661976,-0.0015073292169199405,left_cubic_extension,-2.2887323943661975,-1.5073292169199406
-0.0021971830985915482,-0.0014953013660212123,left_cubic_extension,-2.197183098591548,-1.4953013660212124
-0.0021056338028169006,-0.0014832718482628523,left_cubic_extension,-2.1056338028169006,-1.4832718482628524
-0.002014084507042253,-0.0014712406615587678,left_cubic_extension,-2.014084507042253,-1.4712406615587679
-0.0019225352112676054,-0.001459207803822867,left_cubic_extension,-1.9225352112676053,-1.4592078038228669
-0.0018309859154929577,-0.0014471732729690572,left_cubic_extension,-1.8309859154929577,-1.4471732729690572
-0.0017394366197183101,-0.0014351370669112465,left_cubic_extension,-1.7394366197183102,-1.4351370669112464
-0.0016478873239436625,-0.0014230991835633422,left_cubic_extension,-1.6478873239436624,-1.4230991835633422
-0.0015563380281690131,-0.0014110596208392523,left_cubic_extension,-1.5563380281690131,-1.4110596208392523
-0.0014647887323943655,-0.0013990183766528848,left_cubic_extension,-1.4647887323943656,-1.3990183766528848
-0.0013732394366197179,-0.0013869754489181474,left_cubic_extension,-1.3732394366197178,-1.3869754489181474
-0.0012816901408450702,-0.0013749308355489476,left_cubic_extension,-1.2816901408450703,-1.3749308355489476
-0.0011901408450704226,-0.0013628845344591932,left_cubic_extension,-1.1901408450704225,-1.3628845344591933
-0.001098591549295775,-0.0013508365435627922,left_cubic_extension,-1.098591549295775,-1.3508365435627923
-0.0010070422535211274,-0.001338786860773652,left_cubic_extension,-1.0070422535211274,-1.338786860773652
-0.000915492957746478,-0.0013267354840056805,left_cubic_extension,-0.915492957746478,-1.3267354840056804
-0.0008239436619718304,-0.0013146824111727857,left_cubic_extension,-0.8239436619718303,-1.3146824111727857
-0.0007323943661971827,-0.001302627640188875,left_cubic_extension,-0.7323943661971828,-1.302627640188875
-0.0006408450704225351,-0.0012905711689678563,left_cubic_extension,-0.6408450704225351,-1.2905711689678563
-0.0005492957746478875,-0.0012785129954236375,left_cubic_extension,-0.5492957746478875,-1.2785129954236374
-0.00045774647887323987,-0.0012664531174701261,left_cubic_extension,-0.4577464788732399,-1.2664531174701261
-0.00036619718309859224,-0.0012543915330212301,left_cubic_extension,-0.3661971830985922,-1.25439153302123
