z_m,z_cm,B_T,B_mT,beam_radius_mm,s_local,eta_available,force_scale,force_margin_fraction,eta_design,v_design_m_s,delta_eff_MHz
0.000925,0.0925,-0.007796264461869691,-7.796264461869691,5.941451612903226,1.0606499745855635,0.5147162243305686,0.8388737089331819,0.16112629106681808,0.4317819081522678,279.2409972092834,-9.090858009411248
0.0010175,0.10175,-0.007782623214006099,-7.782623214006099,5.942048387096774,1.06043693803429,0.5146660489623983,0.8388737089331819,0.16112629106681808,0.43173981735507366,279.1650241860222,-9.090388076351267
0.0011099999999999999,0.11099999999999999,-0.007768979597312256,-7.7689795973122555,5.942645161290323,1.0602239656606647,0.5146158783376137,0.8388737089331819,0.16112629106681808,0.4316977305369811,279.089037890555,-9.089918260575732
0.0012025,0.12025,-0.0077553336097176675,-7.755333609717668,5.943241935483871,1.0600110574389139,0.5145657124563016,0.8388737089331819,0.16112629106681808,0.4316556476980629,279.0130383113376,-9.089448562045954
0.001295,0.1295,-0.007741685249149233,-7.741685249149233,5.9438387096774195,1.0597982133432744,0.5145155513185478,0.8388737089331819,0.16112629106681808,0.4316135688383911,278.93702543681104,-9.08897898072328
0.0013875,0.13875,-0.007728034513531313,-7.728034513531313,5.944435483870968,1.0595854333479957,0.5144653949244377,0.8388737089331819,0.16112629106681808,0.4315714939580372,278.8609992554022,-9.088509516569065
0.00148,0.148,-0.007714381400785619,-7.714381400785619,5.945032258064516,1.0593727174273413,0.5144152432740569,0.8388737089331819,0.16112629106681808,0.43152942305707315,278.7849597555232,-9.08804016954466
0.0015725,0.15725,-0.007700725908831256,-7.700725908831256,5.945629032258064,1.0591600655555884,0.5143650963674905,0.8388737089331819,0.16112629106681808,0.4314873561355703,278.70890692557157,-9.08757093961148
0.001665,0.1665,-0.007687068035584714,-7.687068035584714,5.946225806451613,1.0589474777070247,0.5143149542048232,0.8388737089331819,0.16112629106681808,0.43144529319359964,278.63284075393034,-9.087101826730892
0.0017575,0.17575,-0.007673407778959883,-7.6734077789598825,5.946822580645161,1.0587349538559527,0.5142648167861394,0.8388737089331819,0.16112629106681808,0.43140323423123206,278.5567612289679,-9.086632830864342
0.00185,0.185,-0.007659745136868027,-7.659745136868027,5.9474193548387095,1.058522493976687,0.5142146841115232,0.8388737089331819,0.16112629106681808,0.43136117924853795,278.480668339038,-9.086163951973251
0.0019425,0.19425,-0.007646080107217789,-7.646080107217789,5.948016129032259,1.0583100980435558,0.5141645561810584,0.8388737089331819,0.16112629106681808,0.4313191282455878,278.40456207247973,-9.08569519001907
0.002035,0.2035,-0.007632412687915156,-7.632412687915156,5.948612903225807,1.0580977660308992,0.5141144329948286,0.8388737089331819,0.16112629106681808,0.43127708122245173,278.3284424176174,-9.085226544963255
0.0021275,0.21275,-0.007618742876863512,-7.618742876863512,5.949209677419355,1.0578854979130705,0.5140643145529168,0.8388737089331819,0.16112629106681808,0.43123503817919917,278.2523093627608,-9.084758016767308
0.0022199999999999998,0.22199999999999998,-0.007605070671963577,-7.605070671963577,5.949806451612903,1.0576732936644366,0.5140142008554061,0.8388737089331819,0.16112629106681808,0.43119299911590003,278.1761628962047,-9.0842896053927
0.0023125,0.23124999999999998,-0.007591396071113434,-7.591396071113434,5.950403225806451,1.0574611532593765,0.5139640919023788,0.8388737089331819,0.16112629106681808,0.43115096403262326,278.1000030062293,-9.083821310800968
0.002405,0.2405,-0.007577719072208524,-7.577719072208524,5.951,1.057249076672282,0.5139139876939174,0.8388737089331819,0.16112629106681808,0.4311089329294381,278.0238296810999,-9.08335313295363
0.0024975,0.24975000000000003,-0.007564039673141619,-7.564039673141619,5.951596774193549,1.0570370638775577,0.5138638882301035,0.8388737089331819,0.16112629106681808,0.431066905806413,277.94764290906716,-9.082885071812232
0.00259,0.259,-0.007550357871802858,-7.550357871802858,5.952193548387097,1.0568251148496222,0.5138137935110192,0.8388737089331819,0.16112629106681808,0.43102488266361677,277.87144267836663,-9.082417127338337
0.0026825,0.26825,-0.007536673666079691,-7.536673666079691,5.952790322580645,1.056613229562905,0.5137637035367454,0.8388737089331819,0.16112629106681808,0.4309828635011173,277.79522897721915,-9.081949299493516
0.002775,0.2775,-0.007522987053856913,-7.522987053856913,5.953387096774194,1.0564014079918496,0.5137136183073634,0.8388737089331819,0.16112629106681808,0.4309408483189829,277.7190017938306,-9.081481588239363
