z_m,B_T,target_region,z_mm,B_mT
-0.008697183098591549,-0.009203100790398534,left_cubic_extension,-8.697183098591548,-9.203100790398533
-0.008605633802816901,-0.009189825888517042,left_cubic_extension,-8.605633802816902,-9.189825888517042
-0.008514084507042254,-0.009176548953592656,left_cubic_extension,-8.514084507042254,-9.176548953592656
-0.008422535211267606,-0.009163269983175105,left_cubic_extension,-8.422535211267606,-9.163269983175105
-0.008330985915492958,-0.009149988974814114,left_cubic_extension,-8.330985915492958,-9.149988974814114
-0.00823943661971831,-0.009136705926059412,left_cubic_extension,-8.23943661971831,-9.136705926059411
-0.008147887323943661,-0.009123420834460723,left_cubic_extension,-8.147887323943662,-9.123420834460722
-0.008056338028169014,-0.009110133697567776,left_cubic_extension,-8.056338028169014,-9.110133697567775
-0.007964788732394366,-0.009096844512930297,left_cubic_extension,-7.964788732394366,-9.096844512930296
-0.007873239436619717,-0.009083553278098011,left_cubic_extension,-7.873239436619716,-9.08355327809801
-0.00778169014084507,-0.009070259990620649,left_cubic_extension,-7.78169014084507,-9.070259990620649
-0.007690140845070422,-0.009056964648047934,left_cubic_extension,-7.690140845070422,-9.056964648047934
-0.007598591549295774,-0.009043667247929594,left_cubic_extension,-7.598591549295774,-9.043667247929594
-0.007507042253521126,-0.009030367787815356,left_cubic_extension,-7.507042253521126,-9.030367787815356
-0.007415492957746479,-0.009017066265254947,left_cubic_extension,-7.415492957746479,-9.017066265254947
-0.007323943661971831,-0.009003762677798094,left_cubic_extension,-7.323943661971831,-9.003762677798093
-0.0072323943661971824,-0.008990457022994523,left_cubic_extension,-7.232394366197182,-8.990457022994523
-0.007140845070422535,-0.00897714929839396,left_cubic_extension,-7.140845070422535,-8.977149298393961
-0.007049295774647887,-0.008963839501546136,left_cubic_extension,-7.049295774647887,-8.963839501546136
-0.006957746478873239,-0.008950527630000772,left_cubic_extension,-6.957746478873239,-8.950527630000773
-0.006866197183098591,-0.008937213681307598,left_cubic_extension,-6.866197183098591,-8.937213681307599
-0.0067746478873239434,-0.00892389765301634,left_cubic_extension,-6.774647887323943,-8.92389765301634
-0.006683098591549296,-0.008910579542676727,left_cubic_extension,-6.683098591549296,-8.910579542676727
-0.006591549295774647,-0.008897259347838483,left_cubic_extension,-6.591549295774647,-8.897259347838483
-0.0065,-0.008883937066051334,left_cubic_extension,-6.5,-8.883937066051335
-0.006408450704225352,-0.008870612694865011,left_cubic_extension,-6.408450704225352,-8.870612694865011
-0.006316901408450704,-0.008857286231829237,left_cubic_extension,-6.316901408450704,-8.857286231829237
-0.006225352112676056,-0.008843957674493742,left_cubic_extension,-6.225352112676056,-8.843957674493742
-0.006133802816901408,-0.008830627020408249,left_cubic_extension,-6.133802816901408,-8.830627020408249
-0.00604225352112676,-0.008817294267122487,left_cubic_extension,-6.04225352112676,-8.817294267122486
-0.005950704225352112,-0.008803959412186183,left_cubic_extension,-5.950704225352112,-8.803959412186183
-0.005859154929577465,-0.008790622453149065,left_cubic_extension,-5.859154929577465,-8.790622453149064
-0.005767605633802817,-0.008777283387560855,left_cubic_extension,-5.767605633802817,-8.777283387560855
-0.0056760563380281685,-0.008763942212971285,left_cubic_extension,-5.676056338028168,-8.763942212971285
-0.005584507042253521,-0.00875059892693008,left_cubic_extension,-5.584507042253521,-8.75059892693008
-0.005492957746478873,-0.008737253526986965,left_cubic_extension,-5.492957746478873,-8.737253526986965
-0.005401408450704225,-0.00872390601069167,left_cubic_extension,-5.401408450704225,-8.72390601069167
-0.005309859154929577,-0.008710556375593918,left_cubic_extension,-5.309859154929577,-8.710556375593919
