z_m,z_cm,B_T,B_mT
1.559197324414715591e-01,1.559197324414715524e+01,2.688392192399226624e-02,2.688392192399226488e+01
1.565384615384615430e-01,1.565384615384615508e+01,2.702847086092723464e-02,2.702847086092723572e+01
1.571571906354514991e-01,1.571571906354514958e+01,2.717435107879276335e-02,2.717435107879276401e+01
1.577759197324414830e-01,1.577759197324414764e+01,2.732160005236961703e-02,2.732160005236961808e+01
1.583946488294314392e-01,1.583946488294314392e+01,2.747025704830083001e-02,2.747025704830083015e+01
1.590133779264213953e-01,1.590133779264214020e+01,2.762036324738589843e-02,2.762036324738589954e+01
1.596321070234113793e-01,1.596321070234113826e+01,2.777196187782007830e-02,2.777196187782007897e+01
1.602508361204013354e-01,1.602508361204013454e+01,2.792509836060066628e-02,2.792509836060066775e+01
1.608695652173913193e-01,1.608695652173913260e+01,2.807982046848623431e-02,2.807982046848623270e+01
1.614882943143812755e-01,1.614882943143812710e+01,2.823617850008549798e-02,2.823617850008549723e+01
1.621070234113712316e-01,1.621070234113712161e+01,2.839422547087415427e-02,2.839422547087415438e+01
1.627257525083612155e-01,1.627257525083612322e+01,2.855401732319597444e-02,2.855401732319597485e+01
1.633444816053511717e-01,1.633444816053511772e+01,2.871561315760625538e-02,2.871561315760625632e+01
1.639632107023411278e-01,1.639632107023411223e+01,2.887907548827041773e-02,2.887907548827041637e+01
1.645819397993311117e-01,1.645819397993311028e+01,2.904447052554715025e-02,2.904447052554715114e+01
1.652006688963210679e-01,1.652006688963210834e+01,2.921186848937852229e-02,2.921186848937852076e+01
1.658193979933110240e-01,1.658193979933110285e+01,2.938134395769443144e-02,2.938134395769442975e+01
1.664381270903010079e-01,1.664381270903010090e+01,2.955297625473461698e-02,2.955297625473461665e+01
1.670568561872909641e-01,1.670568561872909541e+01,2.972684988502488287e-02,2.972684988502488324e+01
1.676755852842809480e-01,1.676755852842809347e+01,2.990305501974414165e-02,2.990305501974414071e+01
1.682943143812709041e-01,1.682943143812709152e+01,3.008168804342638628e-02,3.008168804342638580e+01
1.689130434782608603e-01,1.689130434782608603e+01,3.026285217040600162e-02,3.026285217040600273e+01
1.695317725752508442e-01,1.695317725752508409e+01,3.044665814219918443e-02,3.044665814219918332e+01
1.701505016722408004e-01,1.701505016722407859e+01,3.063322501920101928e-02,3.063322501920102070e+01
1.707692307692307843e-01,1.707692307692308020e+01,3.082268108277376809e-02,3.082268108277376939e+01
1.713879598662207404e-01,1.713879598662207471e+01,3.101516486714284843e-02,3.101516486714284682e+01
1.720066889632106966e-01,1.720066889632106921e+01,3.121082634468842418e-02,3.121082634468842443e+01
1.726254180602006805e-01,1.726254180602006727e+01,3.140982829345832783e-02,3.140982829345832883e+01
1.732441471571906366e-01,1.732441471571906533e+01,3.161234788235872673e-02,3.161234788235872628e+01
1.738628762541805928e-01,1.738628762541805983e+01,3.181857851793205849e-02,3.181857851793205683e+01
1.744816053511705767e-01,1.744816053511705789e+01,3.202873200750006033e-02,3.202873200750006077e+01
1.751003344481605328e-01,1.751003344481605239e+01,3.224304110754552810e-02,3.224304110754552966e+01
1.757190635451504890e-01,1.757190635451505045e+01,3.246176254466114769e-02,3.246176254466114841e+01
1.763377926421404729e-01,1.763377926421404851e+01,3.268518062080000980e-02,3.268518062080001130e+01
1.769565217391304290e-01,1.769565217391304301e+01,3.291361154719538162e-02,3.291361154719538007e+01
