z_m,z_mm,B_T,B_mT,in_original_range,B_original_interp_mT,B_degree6_unanchored_mT
0.01654,16.54,0.006927029381492279,6.927029381492279,True,6.927029381492279,6.90302416452603
0.016705685618729097,16.705685618729095,0.006944159449083593,6.944159449083593,True,6.944159449083593,6.920452470450081
0.016715833333333333,16.715833333333332,0.006945210482525012,6.945210482525012,True,6.945210482525012,6.921520464990083
0.016891666666666666,16.891666666666666,0.00696342214107643,6.96342214107643,True,6.96342214107643,6.9400362825864335
0.0170675,17.0675,0.0069816337996278476,6.981633799627848,True,6.981633799627848,6.9585712935858295
0.017243333333333333,17.243333333333332,0.006999845458179265,6.999845458179265,True,6.999845458179265,6.977125178663432
0.017324414715719064,17.324414715719065,0.007008243333729326,7.008243333729326,True,7.008243333729326,6.985687135012016
0.017419166666666666,17.419166666666666,0.007018074685756024,7.018074685756024,True,7.018074685756024,6.995697622870011
0.017595,17.595,0.007036318947544191,7.036318947544191,True,7.036318947544191,7.014288315603216
0.017770833333333333,17.770833333333332,0.007054563209332358,7.054563209332358,True,7.054563209332358,7.032896950578951
0.01794314381270903,17.94314381270903,0.00707244194389866,7.07244194389866,True,7.07244194389866,7.051149873633457
0.017946666666666666,17.946666666666665,0.007072808127853346,7.072808127853346,True,7.072808127853346,7.051523225802807
0.0181225,18.1225,0.007091085168610591,7.091085168610591,True,7.091085168610591,7.070166843541606
0.01829833333333334,18.29833333333334,0.0071093622093678374,7.109362209367838,True,7.109362209367838,7.088827510294998
0.018474166666666673,18.474166666666672,0.007127639250125083,7.127639250125083,True,7.127639250125083,7.1075049367671665
0.018561872909699,18.561872909699,0.007136755897965272,7.136755897965272,True,7.136755897965272,7.116827474228883
0.018650000000000007,18.650000000000006,0.007145932808464731,7.145932808464731,True,7.145932808464731,7.126198837838601
0.01882583333333334,18.82583333333334,0.00716424280550775,7.16424280550775,True,7.16424280550775,7.144908932537969
0.019001666666666674,19.001666666666672,0.007182552802550771,7.182552802550771,True,7.182552802550771,7.163634944014058
0.019177500000000007,19.177500000000006,0.007200862799593791,7.200862799593791,True,7.200862799593791,7.182376599507799
0.019180602006688963,19.180602006688964,0.007201185819877974,7.201185819877974,True,7.201185819877974,7.182707373800142
0.01935333333333334,19.35333333333334,0.007219205347280872,7.219205347280872,True,7.219205347280872,7.201133630324385
0.019529166666666674,19.529166666666672,0.007237548479530797,7.237548479530797,True,7.237548479530797,7.2199057718054656
0.019705000000000007,19.70500000000001,0.007255891611780722,7.255891611780722,True,7.255891611780722,7.238692763301432
0.019799331103678926,19.799331103678927,0.007265732339231321,7.265732339231321,True,7.265732339231321,7.248777643221949
0.01988083333333334,19.880833333333342,0.007274250186541403,7.274250186541403,True,7.274250186541403,7.25749434814377
0.020056666666666674,20.056666666666676,0.0072926266345441975,7.292626634544198,True,7.292626634544198,7.276310273617517
0.020232500000000007,20.23250000000001,0.007311003082546992,7.311003082546992,True,7.311003082546992,7.295140290933779
0.02040833333333334,20.408333333333342,0.007329379530549785,7.329379530549785,True,7.329379530549785,7.313984155202359
0.020418060200668896,20.418060200668897,0.007330396091337398,7.3303960913373984,True,7.3303960913373984,7.315026972185697
0.020584166666666674,20.584166666666675,0.007347787623435025,7.347787623435025,True,7.347787623435025,7.3328416254044395
0.02076,20.76,0.007366197569382223,7.366197569382224,True,7.366197569382224,7.351712464365374
0.020935833333333334,20.935833333333335,0.007384607515329423,7.384607515329423,True,7.384607515329423,7.370596438727544
0.021036789297658863,21.036789297658864,0.00739517771729879,7.39517771729879,True,7.39517771729879,7.381444654301581
0.021111666666666667,21.111666666666668,0.0074030318044316585,7.4030318044316585,True,7.4030318044316585,7.3894933189233045
0.0212875,21.2875,0.007421475432181438,7.421475432181437,True,7.421475432181437,7.408402879148022
0.021463333333333334,21.463333333333335,0.007439919059931217,7.439919059931217,True,7.439919059931217,7.427324897333174
0.021639166666666668,21.639166666666668,0.007458362687680996,7.458362687680996,True,7.458362687680996,7.446259155119563
0.02165551839464883,21.65551839464883,0.007460077864082713,7.460077864082713,True,7.460077864082713,7.4480205723590664
0.021815,21.815,0.0074768370332648545,7.476837033264855,True,7.476837033264855,7.465205437830587
