z_m,B_T,target_region,z_mm,B_mT
0.107855,0.008217523383564865,original_variable_s_data,107.855,8.217523383564865
0.1079475,0.008238446377240027,original_variable_s_data,107.9475,8.238446377240027
0.10804,0.008259379984148295,original_variable_s_data,108.03999999999999,8.259379984148294
0.1081325,0.0082803242237725,original_variable_s_data,108.13250000000001,8.2803242237725
0.108225,0.008301279115652463,original_variable_s_data,108.22500000000001,8.301279115652463
0.1083175,0.008322244679385268,original_variable_s_data,108.3175,8.322244679385268
0.10841,0.008343220934625457,original_variable_s_data,108.41000000000001,8.343220934625457
0.1085025,0.008364207901085314,original_variable_s_data,108.5025,8.364207901085313
0.108595,0.008385205598535034,original_variable_s_data,108.595,8.385205598535034
0.1086875,0.008406214046803025,original_variable_s_data,108.6875,8.406214046803026
0.10878,0.008427233265776116,original_variable_s_data,108.78,8.427233265776115
0.1088725,0.008448263275399775,original_variable_s_data,108.8725,8.448263275399775
0.108965,0.008469304095678427,original_variable_s_data,108.965,8.469304095678428
0.1090575,0.008490355746675619,original_variable_s_data,109.0575,8.490355746675618
0.10915,0.008511418248514294,original_variable_s_data,109.14999999999999,8.511418248514294
0.1092425,0.008532491621377045,original_variable_s_data,109.2425,8.532491621377044
0.109335,0.008553575885506337,original_variable_s_data,109.33500000000001,8.553575885506337
0.1094275,0.008574671061204782,original_variable_s_data,109.4275,8.574671061204782
0.10952,0.008595777168835394,original_variable_s_data,109.52000000000001,8.595777168835394
0.1096125,0.008616894228821786,original_variable_s_data,109.6125,8.616894228821787
0.109705,0.00863802226164849,original_variable_s_data,109.705,8.638022261648489
0.1097975,0.00865916128786118,original_variable_s_data,109.7975,8.65916128786118
0.10989,0.008680311328066905,original_variable_s_data,109.89,8.680311328066905
0.1099825,0.008701472402934389,original_variable_s_data,109.9825,8.701472402934389
0.110075,0.008722644533194249,original_variable_s_data,110.075,8.722644533194249
0.1101675,0.008743827739639309,original_variable_s_data,110.1675,8.74382773963931
0.11026,0.00876502204312477,original_variable_s_data,110.25999999999999,8.76502204312477
0.1103525,0.008786227464568561,original_variable_s_data,110.3525,8.786227464568562
0.110445,0.00880744402495156,original_variable_s_data,110.44500000000001,8.80744402495156
0.1105375,0.008828671745317866,original_variable_s_data,110.5375,8.828671745317866
0.11063,0.008849910646775068,original_variable_s_data,110.63000000000001,8.849910646775069
0.1107225,0.008871160750494494,original_variable_s_data,110.7225,8.871160750494495
0.110815,0.008892422077711513,original_variable_s_data,110.815,8.892422077711513
