z_m,z_mm,B_T,B_mT,in_original_range,B_original_interp_mT,B_degree6_unanchored_mT,B_original_T,B_original_mT,equivalent_detuning_MHz,field_offset_removed_mT
0.0975991666666666,97.59916666666668,0.011362336664881397,11.362336664881397,True,16.617479681784094,16.614390638519144,0.016617479681784,16.617479681784094,-526.447731260968,5.2551430169026006
0.0977591973244147,97.75919732441471,0.011384980839600399,11.384980839600399,True,16.64012385650303,16.637392086632985,0.016640123856503,16.64012385650303,-526.447731260968,5.2551430169026006
0.097775,97.77500000000002,0.011387224390973998,11.387224390973998,True,16.642367407876666,16.63966454781146,0.0166423674078766,16.642367407876666,-526.447731260968,5.2551430169026006
0.0979508333333333,97.95083333333336,0.011412187955808398,11.412187955808399,True,16.667330972711056,16.664963355355898,0.016667330972711,16.667330972711056,-526.447731260968,5.2551430169026006
0.0981266666666666,98.12666666666668,0.0114371515206428,11.4371515206428,True,16.69229453754545,16.69028706659096,0.0166922945375454,16.69229453754545,-526.447731260968,5.2551430169026006
0.0983025,98.3025,0.0114621150854772,11.4621150854772,True,16.717258102379844,16.715635686922997,0.0167172581023798,16.717258102379844,-526.447731260968,5.2551430169026006
0.0983779264214047,98.3779264214047,0.011472823591795498,11.472823591795498,True,16.72796660869811,16.726517004423773,0.0167279666086981,16.72796660869811,-526.447731260968,5.2551430169026006
0.0984783333333333,98.47833333333335,0.011487126714595099,11.4871267145951,True,16.74226973149775,16.74100922173587,0.0167422697314977,16.74226973149775,-526.447731260968,5.2551430169026006
0.0986541666666666,98.65416666666668,0.011512174449961398,11.512174449961398,True,16.76731746686405,16.766407676400657,0.016767317466864,16.76731746686405,-526.447731260968,5.2551430169026006
0.09883,98.83,0.011537222185327697,11.537222185327698,True,16.79236520223035,16.79183105628548,0.0167923652022303,16.79236520223035,-526.447731260968,5.2551430169026006
0.0989966555183946,98.99665551839465,0.0115609625264959,11.5609625264959,True,16.816105543398596,16.815950447341468,0.0168161055433985,16.816105543398596,-526.447731260968,5.2551430169026006
0.0990058333333333,99.00583333333334,0.011562274358809698,11.562274358809699,True,16.81741737571234,16.817279366765376,0.0168174173757123,16.81741737571234,-526.447731260968,5.2551430169026006
0.0991816666666666,99.18166666666669,0.011587407121895498,11.587407121895499,True,16.84255013879812,16.842752613232285,0.0168425501387981,16.84255013879812,-526.447731260968,5.2551430169026006
0.0993575,99.35750000000002,0.011612539884981298,11.612539884981299,True,16.867682901883907,16.868250801105102,0.0168676829018839,16.867682901883907,-526.447731260968,5.2551430169026006
0.0995333333333333,99.53333333333336,0.011637672648066998,11.637672648066998,True,16.892815664969692,16.89377393583981,0.0168928156649696,16.892815664969692,-526.447731260968,5.2551430169026006
0.0996153846153846,99.6153846153846,0.011649400660006498,11.649400660006497,True,16.904543676909103,16.905692650058466,0.0169045436769091,16.904543676909103,-526.447731260968,5.2551430169026006
