z_m,B_T,B_mT,B_original_T,B_original_mT,original_detuning_MHz,equivalent_detuning_MHz,field_offset_removed_mT
0.0277777777777777,0.0028536459360301,2.8536459360301,0.0081087889529327,8.108788952932715,-600.0,-526.447731260968,5.2551430169026006
0.0279629629629629,0.0028734567977511003,2.8734567977511003,0.0081285998146537,8.12859981465379,-600.0,-526.447731260968,5.2551430169026006
0.0281481481481481,0.0028932789632655003,2.8932789632655003,0.0081484219801681,8.14842198016811,-600.0,-526.447731260968,5.2551430169026006
0.0283333333333333,0.002913112451944499,2.913112451944499,0.0081682554688471,8.168255468847134,-600.0,-526.447731260968,5.2551430169026006
0.0285185185185185,0.0029329572832150997,2.9329572832151,0.0081881003001177,8.188100300117704,-600.0,-526.447731260968,5.2551430169026006
0.0287037037037037,0.0029528134765596003,2.9528134765596,0.0082079564934622,8.20795649346228,-600.0,-526.447731260968,5.2551430169026006
0.0288888888888888,0.0029726810515165,2.9726810515164996,0.0082278240684191,8.227824068419164,-600.0,-526.447731260968,5.2551430169026006
0.029074074074074,0.0029925600276801004,2.9925600276801005,0.0082477030445827,8.247703044582714,-600.0,-526.447731260968,5.2551430169026006
0.0292592592592592,0.0030124504247009,3.0124504247009,0.0082675934416035,8.267593441603575,-600.0,-526.447731260968,5.2551430169026006
0.0294444444444444,0.0030323522622862998,3.0323522622862997,0.0082874952791889,8.287495279188912,-600.0,-526.447731260968,5.2551430169026006
0.0296296296296296,0.0030522655602000003,3.0522655602000004,0.0083074085771026,8.307408577102619,-600.0,-526.447731260968,5.2551430169026006
0.0298148148148148,0.0030721903382629,3.0721903382629003,0.0083273333551655,8.327333355165573,-600.0,-526.447731260968,5.2551430169026006
0.03,0.003092126616353199,3.092126616353199,0.0083472696332558,8.347269633255838,-600.0,-526.447731260968,5.2551430169026006
0.0301851851851851,0.0031120744144062995,3.1120744144062993,0.0083672174313089,8.36721743130892,-600.0,-526.447731260968,5.2551430169026006
0.0303703703703703,0.0031320337524153004,3.1320337524153006,0.0083871767693179,8.387176769317993,-600.0,-526.447731260968,5.2551430169026006
0.0305555555555555,0.0031520046504314994,3.1520046504314996,0.0084071476673341,8.40714766733411,-600.0,-526.447731260968,5.2551430169026006
0.0307407407407407,0.0031719871285638005,3.1719871285638006,0.0084271301454664,8.427130145466474,-600.0,-526.447731260968,5.2551430169026006
0.0309259259259259,0.00319198120698,3.19198120698,0.0084471242238826,8.447124223882657,-600.0,-526.447731260968,5.2551430169026006
0.0311111111111111,0.0032119869059062,3.2119869059062,0.0084671299228088,8.467129922808828,-600.0,-526.447731260968,5.2551430169026006
0.0312962962962962,0.0032320042456273996,3.2320042456273996,0.00848714726253,8.487147262530007,-600.0,-526.447731260968,5.2551430169026006
0.0314814814814814,0.0032520332464876,3.2520332464876,0.0085071762633902,8.507176263390297,-600.0,-526.447731260968,5.2551430169026006
0.0316666666666666,0.0032720739288905005,3.2720739288905003,0.0085272169457931,8.527216945793143,-600.0,-526.447731260968,5.2551430169026006
0.0318518518518518,0.0032921263132988992,3.2921263132988994,0.0085472693302015,8.547269330201523,-600.0,-526.447731260968,5.2551430169026006
0.032037037037037,0.0033121904202356002,3.3121904202356003,0.0085673334371382,8.567333437138267,-600.0,-526.447731260968,5.2551430169026006
0.0322222222222222,0.003332266270283599,3.332266270283599,0.0085874092871862,8.58740928718624,-600.0,-526.447731260968,5.2551430169026006
0.0324074074074074,0.0033523538840860003,3.3523538840860003,0.0086074969009886,8.60749690098862,-600.0,-526.447731260968,5.2551430169026006
0.0325925925925925,0.0033724532823465004,3.3724532823465005,0.0086275962992491,8.627596299249134,-600.0,-526.447731260968,5.2551430169026006
0.0327777777777777,0.003392564485829699,3.3925644858296993,0.0086477075027323,8.64770750273231,-600.0,-526.447731260968,5.2551430169026006
0.0329629629629629,0.0034126875153610995,3.4126875153610996,0.0086678305322637,8.667830532263729,-600.0,-526.447731260968,5.2551430169026006
0.0331481481481481,0.0034328223918275993,3.4328223918275995,0.0086879654087302,8.687965408730276,-600.0,-526.447731260968,5.2551430169026006
0.0333333333333333,0.0034529691361777004,3.4529691361777,0.0087081121530803,8.708112153080375,-600.0,-526.447731260968,5.2551430169026006
0.0335185185185185,0.0034731277694215997,3.4731277694215996,0.0087282707863242,8.728270786324298,-600.0,-526.447731260968,5.2551430169026006
0.0337037037037037,0.0034932983126316998,3.4932983126317,0.0087484413295343,8.748441329534337,-600.0,-526.447731260968,5.2551430169026006
0.0338888888888888,0.0035134807869424993,3.513480786942499,0.0087686238038451,8.768623803845143,-600.0,-526.447731260968,5.2551430169026006
0.034074074074074,0.003533675213551299,3.533675213551299,0.0087888182304539,8.788818230453916,-600.0,-526.447731260968,5.2551430169026006
0.0342592592592592,0.0035538816137181,3.5538816137181,0.0088090246306207,8.809024630620735,-600.0,-526.447731260968,5.2551430169026006
0.0344444444444444,0.0035741000087661,3.5741000087661,0.0088292430256687,8.829243025668744,-600.0,-526.447731260968,5.2551430169026006
0.0346296296296296,0.0035943304200818,3.5943304200818,0.0088494734369844,8.849473436984473,-600.0,-526.447731260968,5.2551430169026006
0.0348148148148148,0.0036145728691154002,3.6145728691154004,0.008869715886018,8.869715886018074,-600.0,-526.447731260968,5.2551430169026006
0.0349999999999999,0.0036348273773809,3.6348273773809003,0.0088899703942835,8.889970394283587,-600.0,-526.447731260968,5.2551430169026006
0.0351851851851851,0.0036550939664565995,3.6550939664565996,0.0089102369833592,8.910236983359233,-600.0,-526.447731260968,5.2551430169026006
0.0353703703703703,0.0036753726579850004,3.6753726579850006,0.0089305156748876,8.93051567488762,-600.0,-526.447731260968,5.2551430169026006
0.0355555555555555,0.003695663473673499,3.695663473673499,0.0089508064905761,8.950806490576106,-600.0,-526.447731260968,5.2551430169026006
0.0357407407407407,0.003715966435294299,3.715966435294299,0.0089711094521969,8.97110945219698,-600.0,-526.447731260968,5.2551430169026006
0.0359259259259259,0.003736281564685099,3.736281564685099,0.0089914245815877,8.991424581587795,-600.0,-526.447731260968,5.2551430169026006
0.0361111111111111,0.003756608883749,3.756608883749,0.0090117519006516,9.011751900651602,-600.0,-526.447731260968,5.2551430169026006
0.0362962962962962,0.0037769484144546004,3.7769484144546004,0.0090320914313572,9.03209143135725,-600.0,-526.447731260968,5.2551430169026006
0.0364814814814814,0.003797300178837,3.7973001788369998,0.0090524431957396,9.052443195739668,-600.0,-526.447731260968,5.2551430169026006
0.0366666666666666,0.0038176641989975,3.8176641989975,0.0090728072159001,9.072807215900117,-600.0,-526.447731260968,5.2551430169026006
0.0368518518518518,0.003838040497103799,3.838040497103799,0.0090931835140064,9.093183514006489,-600.0,-526.447731260968,5.2551430169026006
0.037037037037037,0.003858429095390899,3.8584290953908993,0.0091135721122935,9.113572112293584,-600.0,-526.447731260968,5.2551430169026006
0.0372222222222222,0.003878830016160799,3.878830016160799,0.0091339730330634,9.133973033063404,-600.0,-526.447731260968,5.2551430169026006
0.0374074074074074,0.0038992432817827995,3.8992432817827996,0.0091543862986854,9.154386298685406,-600.0,-526.447731260968,5.2551430169026006
0.0375925925925925,0.003919668914694199,3.919668914694199,0.0091748119315968,9.174811931596828,-600.0,-526.447731260968,5.2551430169026006
0.0377777777777777,0.003940106937400299,3.9401069374002993,0.0091952499543029,9.195249954302955,-600.0,-526.447731260968,5.2551430169026006
0.0379629629629629,0.0039605573724746995,3.9605573724746996,0.0092157003893773,9.215700389377396,-600.0,-526.447731260968,5.2551430169026006
0.0381481481481481,0.0039810202425597995,3.9810202425597994,0.0092361632594624,9.236163259462414,-600.0,-526.447731260968,5.2551430169026006
0.0383333333333333,0.0040014955703665004,4.0014955703665,0.0092566385872691,9.256638587269178,-600.0,-526.447731260968,5.2551430169026006
