z_m,B_T,B_mT
0.007222222222222222,0.005975850751619433,5.975850751619433
0.007407407407407407,0.005994515660728096,5.994515660728096
0.007592592592592593,0.006013190022408287,6.013190022408287
0.0077777777777777776,0.006031873851035912,6.031873851035912
0.007962962962962963,0.0060505671610233715,6.0505671610233716
0.008148148148148147,0.006069269966819659,6.069269966819658
0.008333333333333333,0.006087982282910508,6.087982282910508
0.008518518518518517,0.0061067041238185155,6.106704123818515
0.008703703703703703,0.006125435504103283,6.125435504103283
0.008888888888888889,0.006144176438361544,6.144176438361543
0.009074074074074073,0.006162926941227288,6.162926941227288
0.009259259259259259,0.006181687027371902,6.181687027371902
0.009444444444444445,0.006200456711504307,6.200456711504307
0.009629629629629629,0.006219236008371094,6.2192360083710945
0.009814814814814814,0.006238024932756646,6.238024932756646
0.01,0.006256823499483289,6.256823499483289
0.010185185185185184,0.006275631723411411,6.2756317234114105
0.01037037037037037,0.006294449619439619,6.294449619439619
0.010555555555555556,0.006313277202504871,6.313277202504871
0.01074074074074074,0.0063321144875826,6.3321144875826
0.010925925925925926,0.006350961489686867,6.350961489686867
0.01111111111111111,0.006369818223870499,6.369818223870499
0.011296296296296296,0.0063886847052252345,6.388684705225234
0.011481481481481481,0.006407560948881844,6.407560948881844
0.011666666666666665,0.0064264469700102906,6.42644697001029
0.011851851851851851,0.006445342783819868,6.445342783819868
0.012037037037037037,0.006464248405559345,6.464248405559346
0.012222222222222221,0.0064831638505171004,6.4831638505171005
0.012407407407407407,0.006502089134021273,6.502089134021273
0.012592592592592593,0.00652102427143991,6.52102427143991
0.012777777777777777,0.006539969278181112,6.539969278181112
0.012962962962962963,0.0065589241696931665,6.558924169693166
0.013148148148148147,0.006577888961464709,6.5778889614647085
0.013333333333333332,0.006596863669024877,6.596863669024877
0.013518518518518518,0.006615848307943424,6.615848307943424
0.013703703703703702,0.006634842893830918,6.6348428938309185
0.013888888888888888,0.006653847442338855,6.653847442338855
0.014074074074074074,0.006672861969159812,6.672861969159812
0.014259259259259258,0.006691886490027622,6.691886490027622
0.014444444444444444,0.006710921020717487,6.710921020717486
0.01462962962962963,0.006729965577046177,6.729965577046177
0.014814814814814814,0.006749020174872155,6.749020174872155
0.015,0.006768084830095724,6.768084830095724
0.015185185185185185,0.006787159558659212,6.787159558659212
0.01537037037037037,0.006806244376547088,6.806244376547088
0.015555555555555555,0.006825339299786158,6.825339299786158
0.01574074074074074,0.006844444344445696,6.844444344445696
0.015925925925925927,0.006863559526637608,6.863559526637608
0.01611111111111111,0.006882684862516595,6.882684862516594
0.016296296296296295,0.006901820368280311,6.901820368280311
0.016481481481481482,0.006920966060169515,6.920966060169515
0.016666666666666666,0.006940121954468247,6.940121954468247
0.01685185185185185,0.006959288067503971,6.959288067503971
0.017037037037037035,0.0069784644156477525,6.978464415647752
0.017222222222222222,0.006997651015314416,6.997651015314416
0.017407407407407406,0.00701684788296271,7.01684788296271
0.01759259259259259,0.0070360550350954685,7.036055035095468
0.017777777777777778,0.007055272488259778,7.055272488259778
0.017962962962962962,0.007074500259047148,7.074500259047149
0.018148148148148146,0.0070937383640936776,7.093738364093678
0.018333333333333333,0.007112986820080207,7.112986820080207
0.018518518518518517,0.007132245643732512,7.132245643732512
0.0187037037037037,0.007151514851821462,7.151514851821462
0.01888888888888889,0.007170794461163191,7.170794461163191
0.019074074074074073,0.007190084488619251,7.190084488619251
0.019259259259259257,0.007209384951096828,7.209384951096828
0.019444444444444445,0.007228695865548858,7.228695865548858
0.01962962962962963,0.00724801724897425,7.24801724897425
0.019814814814814813,0.007267349118418038,7.267349118418037
0.02,0.007286691490971547,7.286691490971547
0.020185185185185184,0.007306044383772611,7.306044383772611
0.02037037037037037,0.007325407814005679,7.325407814005679
0.020555555555555556,0.007344781798902075,7.3447817989020745
0.02074074074074074,0.007364166355740106,7.364166355740106
0.020925925925925924,0.007383561501845296,7.383561501845295
0.021111111111111112,0.007402967254590522,7.402967254590522
0.021296296296296296,0.007422383631396231,7.42238363139623
0.02148148148148148,0.0074418106497306045,7.441810649730605
0.021666666666666664,0.007461248327109744,7.461248327109744
0.02185185185185185,0.007480696681097861,7.480696681097861
0.022037037037037036,0.00750015572930745,7.50015572930745
0.02222222222222222,0.007519625489399489,7.519625489399489
