z_mm,B_target_mT,B_sim_mT,residual_mT,in_active_0_185mm,acceptance_residual_with_start_0p1mT_deadband_mT
17.343749999999996,7.010249540297117,6.99350626653161,-0.0167432737655072,True,-0.0
17.632812499999996,7.040242328485603,7.020714190292701,-0.0195281381929028,True,-0.0
17.921875,7.070235116674089,7.0481046507735154,-0.0221304659005737,True,-0.0
18.2109375,7.100277827143116,7.075689688278523,-0.0245881388645924,True,-0.0
18.5,7.130324502558611,7.10348066952197,-0.0268438330366408,True,-0.0
18.7890625,7.160413759917592,7.131488239229765,-0.0289255206878278,True,-0.0
19.078125,7.190514614061183,7.15972227335303,-0.0307923407081517,True,-0.0
19.3671875,7.220650629620468,7.188191834153662,-0.0324587954668061,True,-0.0
19.65625,7.2508059566308605,7.216905127425628,-0.0339008292052321,True,-0.0
19.9453125,7.280988943243849,7.245869462118454,-0.0351194811253948,True,-0.0
20.234375,7.311199039930907,7.275091212630087,-0.0361078273008203,True,-0.0
20.5234375,7.341429212008948,7.304575784035758,-0.0368534279731897,True,-0.0
20.8125,7.371694377887785,7.334327580517288,-0.0373667973704965,True,-0.0
21.1015625,7.401971951415232,7.364349977253057,-0.0376219741621743,True,-0.0
21.390625,7.432292488740846,7.394645296022832,-0.0376471927180151,True,-0.0
21.6796875,7.46261768129028,7.425214784773696,-0.0374028965165838,True,-0.0
21.96875,7.492993895092778,7.456058601382887,-0.0369352937098907,True,-0.0
22.2578125,7.523370108895276,7.487175801841123,-0.0361943070541536,True,-0.0
22.546875,7.553799123960814,7.518564333064994,-0.0352347908958196,True,-0.0
22.8359375,7.584231322081216,7.55022103053007,-0.0340102915511461,True,-0.0
23.125,7.614708706828685,7.582141620896549,-0.0325670859321353,True,-0.0
23.4140625,7.645197199955307,7.614320729777591,-0.0308764701777162,True,-0.0
23.703125,7.675723179699375,7.646751894775779,-0.028971284923596,True,-0.0
23.9921875,7.706268281404868,7.679427583886519,-0.0268406975183488,True,-0.0
24.28125,7.736843083148681,7.712339219338021,-0.0245038638106605,True,-0.0
24.5703125,7.767445109927621,7.745477206906092,-0.0219679030215285,True,-0.0
24.859375,7.798068962379536,7.778830970708623,-0.0192379916709121,True,-0.0
25.1484375,7.828728233686714,7.812388993449067,-0.0163392402376472,True,-0.0
25.4375,7.859401367277214,7.846138862041364,-0.0132625052358496,True,-0.0
25.7265625,7.890118205566522,7.880067318509768,-0.0100508870567537,True,-0.0
26.015625,7.920840852465331,7.914160316017476,-0.0066805364478551,True,-0.0
26.3046875,7.951615583229349,7.948403079837036,-0.0032125033923129,True,-0.0
26.59375,7.982390313993367,7.982780173034148,0.0003898590407811,True,0.0
26.8828125,8.013220929172972,8.017275566595007,0.0040546374220351,True,0.0
