z_mm,B_sim_mT
90.75,15.584645494450454
91.0,15.619861378595036
91.25,15.655212003165278
91.5,15.690696534339917
91.75,15.726314055734974
92.0,15.762063568768696
92.25,15.797943993078256
92.5,15.833954166990013
92.75,15.870092848044658
93.0,15.906358713579074
93.25,15.942750361366356
93.5,15.979266310315744
93.75,16.015905001234103
94.0,16.052664797650586
94.25,16.089543986706108
94.5,16.126540780109316
94.75,16.163653315160662
95.0,16.200879655846038
95.25,16.23821779400163
95.5,16.27566565055146
95.75,16.313221076818923
96.0,16.35088185591383
96.25,16.388645704196087
96.5,16.426510272817282
96.75,16.46447314934124
97.0,16.50253185944456
97.25,16.540683868697954
97.5,16.57892658442918
97.75,16.61725735766821
98.0,16.65567348517507
98.25,16.69417221155072
98.5,16.732750731431157
98.75,16.7714061917648
99.0,16.810135694172914
99.25,16.848936297392935
99.5,16.887805019804027
99.75,16.926738842034336
100.0,16.965734709649
100.25,17.004789535917915
100.5,17.043900204661945
100.75,17.083063573176215
101.0,17.122276475228727
101.25,17.16153572413259
101.5,17.20083811588967
101.75,17.24018043240348
102.0,17.27955944475879
102.25,17.318971916565374
102.5,17.358414607362946
102.75,17.397884276084195
103.0,17.437377684572745
103.25,17.476891601152563
103.5,17.516422804245007
103.75,17.55596808603
104.0,17.59552425614694
104.25,17.63508814543157
104.5,17.674656609684092
104.75,17.71422653346433
105.0,17.753794833909136
105.25,17.793358464567298
105.5,17.832914419247093
105.75,17.8724597358714
106.0,17.91199150033527
106.25,17.95150685036078
106.5,17.99100297934375
106.75,18.03047714018705
107.0,18.069926649114983
107.25,18.109348889463366
107.5,18.148741315439604
107.75,18.18810145584738
108.0,18.227426917770323
108.25,18.266715390209132
108.5,18.305964647666546
108.75,18.345172553674793
109.0,18.384337064259867
109.25,18.4234562313374
109.5,18.4625282060346
109.75,18.50155124193314
110.0,18.540523698227652
110.25,18.579444042794968
110.5,18.61831085516882
110.75,18.657122829415382
111.0,18.695878776904888
111.25,18.73457762897465
111.5,18.773218439479077
111.75,18.811800387222412
112.0,18.85032277827015
112.25,18.888785048134935
112.5,18.927186763833486
112.75,18.965527625810612
113.0,19.0038074697272
113.25,19.042026268108753
113.5,19.080184131851496
113.75,19.118281311583225
114.0,19.15631819887625
114.25,19.194295327309955
114.5,19.23221337338077
114.75,19.270073157257446
115.0,19.30787564337981
115.25,19.345621940899374
115.5,19.383313303960243
115.75,19.420951131819162
116.0,19.458536968803504
116.25,19.49607250410638
116.5,19.533559571418188
116.75,19.571000148393964
117.0,19.608396355956245
117.25,19.645750457433337
117.5,19.683064857532788
117.75,19.720342101150443
118.0,19.757584872015183
118.25,19.794795991169984
118.5,19.83197841528987
118.75,19.86913523483742
119.0,19.90626967205696
119.25,19.94338507880828
119.5,19.980484934241197
119.75,20.017572842312315
120.0,20.05465252914527
120.25,20.09172784023628
120.5,20.12880273750653
120.75,20.165881296203324
121.0,20.202967701651943
121.25,20.240066245860284
121.5,20.277181323978514
121.75,20.314317430616033
122.0,20.351479156018193
122.25,20.388671182105433
122.5,20.425898278377346
122.75,20.463165297684686
123.0,20.50047717187214
123.25,20.53783890729498
123.5,20.575255580212776
123.75,20.61273233206353
124.0,20.650274364621684
124.25,20.687886935043615
124.5,20.725575350804363
124.75,20.763344964529526
125.0,20.801201168726273
125.25,20.839149390417816
125.5,20.877195085685575
125.75,20.915343734123564
126.0,20.95360083320977
126.25,20.991971892599242
126.5,21.030462428343988
126.75,21.069077957044815
127.0,21.107823989940485
127.25,21.146706026939743
127.5,21.185729550601856
127.75,21.224900020071615
128.0,21.264222864974876
128.25,21.303703479280742
128.5,21.343347215137054
128.75,21.38315937668555
129.0,21.42314521386351
129.25,21.463309916199037
129.5,21.503658606606727
129.75,21.544196335191305
130.0,21.584928073066433
130.25,21.62585870619645
130.5,21.666993029268607
130.75,21.70833573960367
131.0,21.749891431112978
131.25,21.79166458830994
131.5,21.833659580384086
131.75,21.875880655346243
132.0,21.918331934252823
132.25,21.961017405517936
132.5,22.00394091932166
132.75,22.04710618212304
133.0,22.090516751286277
133.25,22.134176029828662
133.5,22.178087261298835
133.75,22.22225352479369
134.0,22.266677730122478
134.25,22.31136261312634
134.5,22.35631073116169
134.75,22.401524458755276
135.0,22.447005983439293
135.25,22.492757301774066
135.5,22.538780215566202
135.75,22.585076328289517
136.0,22.631647041716136
136.25,22.678493552764685
136.5,22.725616850572422
136.75,22.773017713797742
137.0,22.82069670815942
137.25,22.868654184218293
137.5,22.91689027540715
137.75,22.96540489631411
138.0,23.014197741224255
138.25,23.06326828292436
138.5,23.11261577177467
138.75,23.16223923505183
139.0,23.2121374765663
139.25,23.262309076557507
139.5,23.312752391869388
139.75,23.36346555640885
140.0,23.41444648188913
140.25,23.465692858859683
140.5,23.51720215802417
140.75,23.5689716318474
141.0,23.620998316452077
141.25,23.67327903380574
141.5,23.72581039419824
141.75,23.77858879900953
142.0,23.83161044376775
142.25,23.88487132149699
142.5,23.93836722635437
142.75,23.992093757555633
143.0,24.04604632358863
143.25,24.10022014671394
143.5,24.15461026775175
143.75,24.209211551154517
144.0,24.26401869036465
144.25,24.319026213456812
144.5,24.374228489064556
144.75,24.429619732591217
145.0,24.4851940127053
145.25,24.5409452581208
145.5,24.596867264663334
145.75,24.652953702623286
146.0,24.709198124397524
146.25,24.765593972421847
146.5,24.822134587396537
146.75,24.878813216808048
147.0,24.935623023750328
147.25,24.99255709604966
147.5,25.049608455697584
147.75,25.10677006859677
148.0,25.164034854625328
148.25,25.22139569802553
148.5,25.278845458123158
148.75,25.336376980384422
149.0,25.393983107817352
149.25,25.45165669272526
149.5,25.509390608819928
149.75,25.567177763702247
150.0,25.625011111718344
150.25,25.6828836671992
150.5,25.740788518091463
150.75,25.79871883998733
151.0,25.8566679105606
151.25,25.91462912441603
151.5,25.972596008358327
151.75,26.030562237086325
152.0,26.08852164931726
152.25,26.146468264344985
152.5,26.204396299034766
152.75,26.262300185256098
153.0,26.32017458775349
153.25,26.37801442245346
153.5,26.435814875204354
153.75,26.493571420943585
154.0,26.551279843284703
154.25,26.608936254514536
154.5,26.6665371159883
154.75,26.724079258907782
155.0,26.78155990546498
155.25,26.838976690331194
155.5,26.8963276824678
155.75,26.953611407232373
156.0,27.010826868750485
156.25,27.06797357251997
156.5,27.12505154821101
156.75,27.182061372622176
157.0,27.23900419274853
157.25,27.29588174891428
157.5,27.352696397919022
157.75,27.409451136142433
158.0,27.466149622548556
158.25,27.522796201527107
158.5,27.579395925505
158.75,27.635954577257845
159.0,27.692478691846656
159.25,27.74897557810175
159.5,27.805453339571333
159.75,27.861920894848716
160.0,27.91838799718804
160.25,27.97486525331461
160.5,28.03136414133188
160.75,28.0878970276235
161.0,28.144477182644714
161.25,28.20111879549365
161.5,28.25783698714912
161.75,28.314647822257648
162.0,28.371568319348384
162.25,28.42861645935073
162.5,28.485811192285375
162.75,28.54317244199527
163.0,28.600721108779002
163.25,28.658479069784658
163.5,28.716469177017874
163.75,28.774715252813447
