z_m,z_cm,B_T,B_mT
7.959866220735786757e-02,7.959866220735786868e+00,9.281876112040749610e-03,9.281876112040750471e+00
8.026755852842809569e-02,8.026755852842809347e+00,9.372043482215625110e-03,9.372043482215625332e+00
8.093645484949833768e-02,8.093645484949833602e+00,9.462454224226424238e-03,9.462454224226423349e+00
8.160535117056856580e-02,8.160535117056856080e+00,9.553110319439825360e-03,9.553110319439825915e+00
8.227424749163880779e-02,8.227424749163880335e+00,9.644013776254229189e-03,9.644013776254229953e+00
8.294314381270903591e-02,8.294314381270902814e+00,9.735166630618847031e-03,9.735166630618847350e+00
8.361204013377927791e-02,8.361204013377927069e+00,9.826570946565795980e-03,9.826570946565796660e+00
8.428093645484950602e-02,8.428093645484951324e+00,9.918228816755371088e-03,9.918228816755371824e+00
8.494983277591974802e-02,8.494983277591975579e+00,1.001014236303506347e-02,1.001014236303506344e+01
8.561872909698997614e-02,8.561872909698998058e+00,1.010231373701270426e-02,1.010231373701270385e+01
8.628762541806020425e-02,8.628762541806020536e+00,1.019474512064408485e-02,1.019474512064408422e+01
8.695652173913044625e-02,8.695652173913044791e+00,1.028743872683570391e-02,1.028743872683570437e+01
8.762541806020067436e-02,8.762541806020067270e+00,1.038039680006283723e-02,1.038039680006283660e+01
8.829431438127091636e-02,8.829431438127091525e+00,1.047362161700371788e-02,1.047362161700371708e+01
8.896321070234114448e-02,8.896321070234114003e+00,1.056711548719010095e-02,1.056711548719010096e+01
8.963210702341138647e-02,8.963210702341138258e+00,1.066088075367484234e-02,1.066088075367484223e+01
9.030100334448161459e-02,9.030100334448160737e+00,1.075491979371703301e-02,1.075491979371703266e+01
9.096989966555185658e-02,9.096989966555184992e+00,1.084923501948523508e-02,1.084923501948523494e+01
9.163879598662208470e-02,9.163879598662209247e+00,1.094382887877941649e-02,1.094382887877941712e+01
9.230769230769231282e-02,9.230769230769231726e+00,1.103870385577218616e-02,1.103870385577218549e+01
9.297658862876255481e-02,9.297658862876255981e+00,1.113386247177002020e-02,1.113386247177002097e+01
9.364548494983278293e-02,9.364548494983278459e+00,1.122930728599500286e-02,1.122930728599500227e+01
9.431438127090302492e-02,9.431438127090302714e+00,1.132504089638796882e-02,1.132504089638796962e+01
9.498327759197325304e-02,9.498327759197325193e+00,1.142106594043352727e-02,1.142106594043352708e+01
9.565217391304349503e-02,9.565217391304349448e+00,1.151738509600795830e-02,1.151738509600795801e+01
9.632107023411372315e-02,9.632107023411371927e+00,1.161400108225050902e-02,1.161400108225050865e+01
9.698996655518395127e-02,9.698996655518394405e+00,1.171091666045909370e-02,1.171091666045909285e+01
9.765886287625419326e-02,9.765886287625418660e+00,1.180813463501111105e-02,1.180813463501111116e+01
9.832775919732442138e-02,9.832775919732442915e+00,1.190565785431024759e-02,1.190565785431024715e+01
9.899665551839466338e-02,9.899665551839467170e+00,1.200348921176028205e-02,1.200348921176028227e+01
9.966555183946489149e-02,9.966555183946489649e+00,1.210163164676669907e-02,1.210163164676669822e+01
1.003344481605351335e-01,1.003344481605351390e+01,1.220008814576719995e-02,1.220008814576720013e+01
1.010033444816053616e-01,1.010033444816053638e+01,1.229886174329197779e-02,1.229886174329197779e+01
1.016722408026755897e-01,1.016722408026755886e+01,1.239795552305510834e-02,1.239795552305510817e+01
1.023411371237458317e-01,1.023411371237458312e+01,1.249737261907780082e-02,1.249737261907780095e+01
1.030100334448160598e-01,1.030100334448160559e+01,1.259711621684496234e-02,1.259711621684496308e+01
1.036789297658863018e-01,1.036789297658862985e+01,1.269718955449616014e-02,1.269718955449616082e+01
1.043478260869565299e-01,1.043478260869565233e+01,1.279759592405220990e-02,1.279759592405221014e+01
1.050167224080267719e-01,1.050167224080267658e+01,1.289833867267880033e-02,1.289833867267880052e+01
1.056856187290970001e-01,1.056856187290970084e+01,1.299942120398844651e-02,1.299942120398844736e+01
1.063545150501672421e-01,1.063545150501672509e+01,1.310084697938224650e-02,1.310084697938224707e+01
1.070234113712374702e-01,1.070234113712374757e+01,1.320261951943290518e-02,1.320261951943290590e+01
1.076923076923076983e-01,1.076923076923077005e+01,1.330474240531064403e-02,1.330474240531064467e+01
1.083612040133779403e-01,1.083612040133779431e+01,1.340721928025354580e-02,1.340721928025354615e+01
1.090301003344481684e-01,1.090301003344481678e+01,1.351005385108414864e-02,1.351005385108414814e+01
1.096989966555184104e-01,1.096989966555184104e+01,1.361324988977394290e-02,1.361324988977394312e+01
1.103678929765886385e-01,1.103678929765886352e+01,1.371681123505783320e-02,1.371681123505783262e+01
1.110367892976588805e-01,1.110367892976588777e+01,1.382074179410025874e-02,1.382074179410025927e+01
1.117056856187291086e-01,1.117056856187291025e+01,1.392504554421525841e-02,1.392504554421525853e+01
1.123745819397993506e-01,1.123745819397993451e+01,1.402972653464251360e-02,1.402972653464251351e+01
1.130434782608695787e-01,1.130434782608695699e+01,1.413478888838157893e-02,1.413478888838157843e+01
1.137123745819398069e-01,1.137123745819398124e+01,1.424023680408675711e-02,1.424023680408675752e+01
1.143812709030100488e-01,1.143812709030100550e+01,1.434607455802496163e-02,1.434607455802496112e+01
1.150501672240802770e-01,1.150501672240802797e+01,1.445230650609929252e-02,1.445230650609929235e+01
1.157190635451505190e-01,1.157190635451505223e+01,1.455893708594085956e-02,1.455893708594086000e+01
1.163879598662207471e-01,1.163879598662207471e+01,1.466597081907183332e-02,1.466597081907183409e+01
1.170568561872909891e-01,1.170568561872909896e+01,1.477341231314268505e-02,1.477341231314268555e+01
1.177257525083612172e-01,1.177257525083612144e+01,1.488126626424669807e-02,1.488126626424669752e+01
1.183946488294314453e-01,1.183946488294314392e+01,1.498953745931506758e-02,1.498953745931506809e+01
1.190635451505016873e-01,1.190635451505016817e+01,1.509823077859601820e-02,1.509823077859601881e+01
1.197324414715719154e-01,1.197324414715719243e+01,1.520735119822166567e-02,1.520735119822166581e+01
1.204013377926421574e-01,1.204013377926421491e+01,1.531690379286634353e-02,1.531690379286634318e+01
1.210702341137123855e-01,1.210702341137123916e+01,1.542689373850037599e-02,1.542689373850037526e+01
1.217391304347826275e-01,1.217391304347826342e+01,1.553732631524374144e-02,1.553732631524374064e+01
1.224080267558528556e-01,1.224080267558528590e+01,1.564820691032378641e-02,1.564820691032378619e+01
1.230769230769230838e-01,1.230769230769230838e+01,1.575954102114187835e-02,1.575954102114187805e+01
1.237458193979933258e-01,1.237458193979933263e+01,1.587133425845392229e-02,1.587133425845392232e+01
1.244147157190635539e-01,1.244147157190635511e+01,1.598359234966984996e-02,1.598359234966985021e+01
1.250836120401337959e-01,1.250836120401337936e+01,1.609632114227761007e-02,1.609632114227760979e+01
1.257525083612040240e-01,1.257525083612040184e+01,1.620952660739755774e-02,1.620952660739755657e+01
1.264214046822742521e-01,1.264214046822742432e+01,1.632321484347317234e-02,1.632321484347317408e+01
1.270903010033445080e-01,1.270903010033445035e+01,1.643739208010472699e-02,1.643739208010472552e+01
1.277591973244147361e-01,1.277591973244147283e+01,1.655206468203258147e-02,1.655206468203258297e+01
1.284280936454849642e-01,1.284280936454849709e+01,1.666723915327745706e-02,1.666723915327745686e+01
1.290969899665551923e-01,1.290969899665551957e+01,1.678292214144519456e-02,1.678292214144519434e+01
1.297658862876254204e-01,1.297658862876254204e+01,1.689912044220409984e-02,1.689912044220410081e+01
1.304347826086956763e-01,1.304347826086956808e+01,1.701584100394342228e-02,1.701584100394342158e+01
1.311036789297659044e-01,1.311036789297659055e+01,1.713309093262198671e-02,1.713309093262198601e+01
1.317725752508361325e-01,1.317725752508361303e+01,1.725087749681656138e-02,1.725087749681656035e+01
1.324414715719063607e-01,1.324414715719063551e+01,1.736920813298008237e-02,1.736920813298008071e+01
1.331103678929766165e-01,1.331103678929766154e+01,1.748809045092056952e-02,1.748809045092056991e+01
1.337792642140468446e-01,1.337792642140468402e+01,1.760753223951205121e-02,1.760753223951205015e+01
1.344481605351170728e-01,1.344481605351170650e+01,1.772754147264974864e-02,1.772754147264974733e+01
1.351170568561873009e-01,1.351170568561873075e+01,1.784812631546226977e-02,1.784812631546227024e+01
1.357859531772575290e-01,1.357859531772575323e+01,1.796929513079464219e-02,1.796929513079464158e+01
1.364548494983277849e-01,1.364548494983277926e+01,1.809105648597665594e-02,1.809105648597665450e+01
1.371237458193980130e-01,1.371237458193980174e+01,1.821341915989203863e-02,1.821341915989203741e+01
1.377926421404682411e-01,1.377926421404682422e+01,1.833639215036501555e-02,1.833639215036501469e+01
1.384615384615384692e-01,1.384615384615384670e+01,1.845998468188176506e-02,1.845998468188176389e+01
1.391304347826087251e-01,1.391304347826087273e+01,1.858420621366565356e-02,1.858420621366565229e+01
1.397993311036789532e-01,1.397993311036789521e+01,1.870906644812601535e-02,1.870906644812601627e+01
1.404682274247491813e-01,1.404682274247491769e+01,1.883457533970213718e-02,1.883457533970213760e+01
1.411371237458194094e-01,1.411371237458194017e+01,1.896074310412501629e-02,1.896074310412501518e+01
1.418060200668896376e-01,1.418060200668896442e+01,1.908758022812143129e-02,1.908758022812143196e+01
1.424749163879598934e-01,1.424749163879598868e+01,1.921509747958626696e-02,1.921509747958626591e+01
1.431438127090301216e-01,1.431438127090301293e+01,1.934330591825121279e-02,1.934330591825121104e+01
1.438127090301003497e-01,1.438127090301003541e+01,1.947221690687961360e-02,1.947221690687961271e+01
1.444816053511705778e-01,1.444816053511705789e+01,1.960184212301950210e-02,1.960184212301950168e+01
1.451505016722408059e-01,1.451505016722408037e+01,1.973219357134941079e-02,1.973219357134940921e+01
1.458193979933110618e-01,1.458193979933110640e+01,1.986328359665368720e-02,1.986328359665368737e+01
1.464882943143812899e-01,1.464882943143812888e+01,1.999512489746716262e-02,1.999512489746716426e+01
1.471571906354515180e-01,1.471571906354515136e+01,2.012773054043177565e-02,2.012773054043177723e+01
1.478260869565217461e-01,1.478260869565217384e+01,2.026111397541116577e-02,2.026111397541116688e+01
1.484949832775920020e-01,1.484949832775919987e+01,2.039528905141262116e-02,2.039528905141262172e+01
1.491638795986622301e-01,1.491638795986622235e+01,2.053027003336978240e-02,2.053027003336978140e+01
1.498327759197324582e-01,1.498327759197324660e+01,2.066607161984374691e-02,2.066607161984374841e+01
1.505016722408026864e-01,1.505016722408026908e+01,2.080270896170460793e-02,2.080270896170460659e+01
1.511705685618729145e-01,1.511705685618729156e+01,2.094019768186067970e-02,2.094019768186068120e+01
1.518394648829431703e-01,1.518394648829431759e+01,2.107855389610830202e-02,2.107855389610830343e+01
1.525083612040133985e-01,1.525083612040134007e+01,2.121779423518060925e-02,2.121779423518060881e+01
1.531772575250836266e-01,1.531772575250836255e+01,2.135793586808112932e-02,2.135793586808112821e+01
1.538461538461538547e-01,1.538461538461538503e+01,2.149899652679450671e-02,2.149899652679450668e+01
1.545150501672241106e-01,1.545150501672241106e+01,2.164099453247522037e-02,2.164099453247521865e+01
1.551839464882943387e-01,1.551839464882943354e+01,2.178394882322374007e-02,2.178394882322373860e+01
1.558528428093645668e-01,1.558528428093645601e+01,2.192787898356935924e-02,2.192787898356936083e+01
1.565217391304347949e-01,1.565217391304348027e+01,2.207280527578964202e-02,2.207280527578964069e+01
1.571906354515050230e-01,1.571906354515050275e+01,2.221874867320827035e-02,2.221874867320827107e+01
1.578595317725752789e-01,1.578595317725752878e+01,2.236573089562619854e-02,2.236573089562619998e+01
1.585284280936455070e-01,1.585284280936455126e+01,2.251377444705567402e-02,2.251377444705567399e+01
1.591973244147157351e-01,1.591973244147157374e+01,2.266290265594259057e-02,2.266290265594259168e+01
1.598662207357859633e-01,1.598662207357859621e+01,2.281313971808092422e-02,2.281313971808092589e+01
1.605351170568561914e-01,1.605351170568561869e+01,2.296451074244254542e-02,2.296451074244254542e+01
1.612040133779264472e-01,1.612040133779264295e+01,2.311704180016844676e-02,2.311704180016844745e+01
1.618729096989966754e-01,1.618729096989966720e+01,2.327075997699194765e-02,2.327075997699194687e+01
1.625418060200669035e-01,1.625418060200669146e+01,2.342569342939235244e-02,2.342569342939235355e+01
1.632107023411371316e-01,1.632107023411371216e+01,2.358187144480886760e-02,2.358187144480886843e+01
1.638795986622073875e-01,1.638795986622073997e+01,2.373932450627932664e-02,2.373932450627932766e+01
1.645484949832776156e-01,1.645484949832776067e+01,2.389808436190781968e-02,2.389808436190782004e+01
1.652173913043478437e-01,1.652173913043478493e+01,2.405818409960968490e-02,2.405818409960968651e+01
1.658862876254180718e-01,1.658862876254180563e+01,2.421965822763208140e-02,2.421965822763208109e+01
1.665551839464882999e-01,1.665551839464882988e+01,2.438254276140537982e-02,2.438254276140537868e+01
1.672240802675585558e-01,1.672240802675585414e+01,2.454687531734441736e-02,2.454687531734441563e+01
