z_m,z_cm,B_T,B_mT
1.615384615384615405e-02,1.615384615384615419e+00,2.777978071984861606e-03,2.777978071984861685e+00
1.685618729096989912e-02,1.685618729096989954e+00,2.876583308008392927e-03,2.876583308008393125e+00
1.755852842809364420e-02,1.755852842809364489e+00,2.975365656147321153e-03,2.975365656147320959e+00
1.826086956521739274e-02,1.826086956521739246e+00,3.074326074216302863e-03,3.074326074216302995e+00
1.896321070234113781e-02,1.896321070234113781e+00,3.173465528694234539e-03,3.173465528694234372e+00
1.966555183946488289e-02,1.966555183946488317e+00,3.272784994834464743e-03,3.272784994834464722e+00
2.036789297658862796e-02,2.036789297658862630e+00,3.372285456776655168e-03,3.372285456776655366e+00
2.107023411371237651e-02,2.107023411371237831e+00,3.471967907660614052e-03,3.471967907660614028e+00
2.177257525083612158e-02,2.177257525083612144e+00,3.571833349741868231e-03,3.571833349741868169e+00
2.247491638795986665e-02,2.247491638795986457e+00,3.671882794509344610e-03,3.671882794509344627e+00
2.317725752508361173e-02,2.317725752508361214e+00,3.772117262804791128e-03,3.772117262804790982e+00
2.387959866220735680e-02,2.387959866220735528e+00,3.872537784944397789e-03,3.872537784944397821e+00
2.458193979933110535e-02,2.458193979933110729e+00,3.973145400842260401e-03,3.973145400842260422e+00
2.528428093645485042e-02,2.528428093645485042e+00,4.073941160136111163e-03,4.073941160136111073e+00
2.598662207357859549e-02,2.598662207357859355e+00,4.174926122315034648e-03,4.174926122315034682e+00
2.668896321070234057e-02,2.668896321070234112e+00,4.276101356849427645e-03,4.276101356849427937e+00
2.739130434782608911e-02,2.739130434782608869e+00,4.377467943323119608e-03,4.377467943323119393e+00
2.809364548494983418e-02,2.809364548494983627e+00,4.479026971567742592e-03,4.479026971567742876e+00
2.879598662207357926e-02,2.879598662207357940e+00,4.580779541799559311e-03,4.580779541799559595e+00
2.949832775919732433e-02,2.949832775919732253e+00,4.682726764758378922e-03,4.682726764758379012e+00
3.020066889632106941e-02,3.020066889632107010e+00,4.784869761849112196e-03,4.784869761849112280e+00
3.090301003344481795e-02,3.090301003344481767e+00,4.887209665285630403e-03,4.887209665285630500e+00
3.160535117056856302e-02,3.160535117056856080e+00,4.989747618237269644e-03,4.989747618237269755e+00
3.230769230769230810e-02,3.230769230769230838e+00,5.092484774977729979e-03,5.092484774977729778e+00
3.301003344481605317e-02,3.301003344481605151e+00,5.195422301036718010e-03,5.195422301036717982e+00
3.371237458193979825e-02,3.371237458193979908e+00,5.298561373354217577e-03,5.298561373354217174e+00
3.441471571906354332e-02,3.441471571906354221e+00,5.401903180437489169e-03,5.401903180437488849e+00
3.511705685618728839e-02,3.511705685618728978e+00,5.505448922520868316e-03,5.505448922520868038e+00
3.581939799331104041e-02,3.581939799331104179e+00,5.609199811728341270e-03,5.609199811728341700e+00
3.652173913043478548e-02,3.652173913043478493e+00,5.713157072239212833e-03,5.713157072239212653e+00
3.722408026755853055e-02,3.722408026755853250e+00,5.817321940456508973e-03,5.817321940456508855e+00
3.792642140468227563e-02,3.792642140468227563e+00,5.921695665178626847e-03,5.921695665178626555e+00
3.862876254180602070e-02,3.862876254180601876e+00,6.026279507773984155e-03,6.026279507773984356e+00
3.933110367892976578e-02,3.933110367892976633e+00,6.131074742358832638e-03,6.131074742358832985e+00
4.003344481605351085e-02,4.003344481605351390e+00,6.236082655978452544e-03,6.236082655978452571e+00
4.073578595317725592e-02,4.073578595317725259e+00,6.341304548791462659e-03,6.341304548791462992e+00
4.143812709030100100e-02,4.143812709030100017e+00,6.446741734257742037e-03,6.446741734257741996e+00
4.214046822742475301e-02,4.214046822742475662e+00,6.552395539329658111e-03,6.552395539329658014e+00
