magnet_id,stack_index,stack_side,magnet_index_on_side,longitudinal_x_mm,transverse_z_mm,distance_to_axis_mm,moment_orientation,magnet_diameter_mm,magnet_thickness_mm
69,9,upper,1,112.933,33.747717711916124,33.747717711916124,1,8.0,3.0
70,9,upper,2,112.933,36.74771771191613,36.74771771191613,1,8.0,3.0
71,9,upper,3,112.933,39.747717711916124,39.747717711916124,1,8.0,3.0
72,9,upper,4,112.933,42.74771771191613,42.74771771191613,1,8.0,3.0
73,9,upper,5,112.933,45.74771771191613,45.74771771191613,1,8.0,3.0
74,9,upper,6,112.933,48.747717711916124,48.747717711916124,1,8.0,3.0
75,9,upper,7,112.933,51.74771771191613,51.74771771191613,1,8.0,3.0
76,9,lower,1,112.933,-33.747717711916124,33.747717711916124,1,8.0,3.0
77,9,lower,2,112.933,-36.74771771191613,36.74771771191613,1,8.0,3.0
78,9,lower,3,112.933,-39.747717711916124,39.747717711916124,1,8.0,3.0
79,9,lower,4,112.933,-42.74771771191613,42.74771771191613,1,8.0,3.0
80,9,lower,5,112.933,-45.74771771191613,45.74771771191613,1,8.0,3.0
81,9,lower,6,112.933,-48.747717711916124,48.747717711916124,1,8.0,3.0
82,9,lower,7,112.933,-51.74771771191613,51.74771771191613,1,8.0,3.0
83,10,upper,1,125.867,32.93119920840599,32.93119920840599,1,8.0,3.0
84,10,upper,2,125.867,35.931199208406,35.931199208406,1,8.0,3.0
85,10,upper,3,125.867,38.93119920840599,38.93119920840599,1,8.0,3.0
86,10,upper,4,125.867,41.931199208406,41.931199208406,1,8.0,3.0
87,10,upper,5,125.867,44.931199208406,44.931199208406,1,8.0,3.0
88,10,upper,6,125.867,47.93119920840599,47.93119920840599,1,8.0,3.0
89,10,upper,7,125.867,50.931199208406,50.931199208406,1,8.0,3.0
90,10,lower,1,125.867,-32.93119920840599,32.93119920840599,1,8.0,3.0
91,10,lower,2,125.867,-35.931199208406,35.931199208406,1,8.0,3.0
92,10,lower,3,125.867,-38.93119920840599,38.93119920840599,1,8.0,3.0
93,10,lower,4,125.867,-41.931199208406,41.931199208406,1,8.0,3.0
94,10,lower,5,125.867,-44.931199208406,44.931199208406,1,8.0,3.0
95,10,lower,6,125.867,-47.93119920840599,47.93119920840599,1,8.0,3.0
96,10,lower,7,125.867,-50.931199208406,50.931199208406,1,8.0,3.0
97,11,upper,1,138.8,31.30755886674034,31.30755886674034,1,8.0,3.0
98,11,upper,2,138.8,34.307558866740344,34.307558866740344,1,8.0,3.0
99,11,upper,3,138.8,37.30755886674034,37.30755886674034,1,8.0,3.0
100,11,upper,4,138.8,40.30755886674034,40.30755886674034,1,8.0,3.0
101,11,upper,5,138.8,43.307558866740344,43.307558866740344,1,8.0,3.0
102,11,upper,6,138.8,46.307558866740344,46.307558866740344,1,8.0,3.0
103,11,upper,7,138.8,49.307558866740344,49.307558866740344,1,8.0,3.0
104,11,upper,8,138.8,52.307558866740344,52.307558866740344,1,8.0,3.0
105,11,lower,1,138.8,-31.30755886674034,31.30755886674034,1,8.0,3.0
106,11,lower,2,138.8,-34.307558866740344,34.307558866740344,1,8.0,3.0
107,11,lower,3,138.8,-37.30755886674034,37.30755886674034,1,8.0,3.0
108,11,lower,4,138.8,-40.30755886674034,40.30755886674034,1,8.0,3.0
109,11,lower,5,138.8,-43.307558866740344,43.307558866740344,1,8.0,3.0
110,11,lower,6,138.8,-46.307558866740344,46.307558866740344,1,8.0,3.0
111,11,lower,7,138.8,-49.307558866740344,49.307558866740344,1,8.0,3.0
112,11,lower,8,138.8,-52.307558866740344,52.307558866740344,1,8.0,3.0
113,12,upper,1,151.733,31.4577314657557,31.4577314657557,1,8.0,3.0
114,12,upper,2,151.733,34.4577314657557,34.4577314657557,1,8.0,3.0
115,12,upper,3,151.733,37.4577314657557,37.4577314657557,1,8.0,3.0
116,12,upper,4,151.733,40.45773146575569,40.45773146575569,1,8.0,3.0
117,12,upper,5,151.733,43.4577314657557,43.4577314657557,1,8.0,3.0
118,12,upper,6,151.733,46.4577314657557,46.4577314657557,1,8.0,3.0
119,12,upper,7,151.733,49.45773146575569,49.45773146575569,1,8.0,3.0
120,12,upper,8,151.733,52.4577314657557,52.4577314657557,1,8.0,3.0
121,12,upper,9,151.733,55.45773146575569,55.45773146575569,1,8.0,3.0
122,12,lower,1,151.733,-31.4577314657557,31.4577314657557,1,8.0,3.0
123,12,lower,2,151.733,-34.4577314657557,34.4577314657557,1,8.0,3.0
124,12,lower,3,151.733,-37.4577314657557,37.4577314657557,1,8.0,3.0
125,12,lower,4,151.733,-40.45773146575569,40.45773146575569,1,8.0,3.0
126,12,lower,5,151.733,-43.4577314657557,43.4577314657557,1,8.0,3.0
127,12,lower,6,151.733,-46.4577314657557,46.4577314657557,1,8.0,3.0
128,12,lower,7,151.733,-49.45773146575569,49.45773146575569,1,8.0,3.0
129,12,lower,8,151.733,-52.4577314657557,52.4577314657557,1,8.0,3.0
130,12,lower,9,151.733,-55.45773146575569,55.45773146575569,1,8.0,3.0
131,13,upper,1,164.667,28.511075148166164,28.511075148166164,1,8.0,3.0
132,13,upper,2,164.667,31.51107514816616,31.51107514816616,1,8.0,3.0
133,13,upper,3,164.667,34.511075148166164,34.511075148166164,1,8.0,3.0
134,13,upper,4,164.667,37.511075148166164,37.511075148166164,1,8.0,3.0
135,13,upper,5,164.667,40.511075148166164,40.511075148166164,1,8.0,3.0
136,13,upper,6,164.667,43.511075148166164,43.511075148166164,1,8.0,3.0
137,13,upper,7,164.667,46.51107514816616,46.51107514816616,1,8.0,3.0
138,13,upper,8,164.667,49.511075148166164,49.511075148166164,1,8.0,3.0
139,13,upper,9,164.667,52.511075148166164,52.511075148166164,1,8.0,3.0
140,13,upper,10,164.667,55.51107514816616,55.51107514816616,1,8.0,3.0
141,13,lower,1,164.667,-28.511075148166164,28.511075148166164,1,8.0,3.0
142,13,lower,2,164.667,-31.51107514816616,31.51107514816616,1,8.0,3.0
143,13,lower,3,164.667,-34.511075148166164,34.511075148166164,1,8.0,3.0
144,13,lower,4,164.667,-37.511075148166164,37.511075148166164,1,8.0,3.0
145,13,lower,5,164.667,-40.511075148166164,40.511075148166164,1,8.0,3.0
146,13,lower,6,164.667,-43.511075148166164,43.511075148166164,1,8.0,3.0
147,13,lower,7,164.667,-46.51107514816616,46.51107514816616,1,8.0,3.0
148,13,lower,8,164.667,-49.511075148166164,49.511075148166164,1,8.0,3.0
149,13,lower,9,164.667,-52.511075148166164,52.511075148166164,1,8.0,3.0
150,13,lower,10,164.667,-55.51107514816616,55.51107514816616,1,8.0,3.0
151,14,upper,1,177.6,28.186416842984244,28.186416842984244,1,8.0,3.0
152,14,upper,2,177.6,31.186416842984244,31.186416842984244,1,8.0,3.0
153,14,upper,3,177.6,34.186416842984244,34.186416842984244,1,8.0,3.0
154,14,upper,4,177.6,37.186416842984244,37.186416842984244,1,8.0,3.0
155,14,upper,5,177.6,40.186416842984244,40.186416842984244,1,8.0,3.0
156,14,upper,6,177.6,43.186416842984244,43.186416842984244,1,8.0,3.0
157,14,upper,7,177.6,46.186416842984244,46.186416842984244,1,8.0,3.0
158,14,upper,8,177.6,49.186416842984244,49.186416842984244,1,8.0,3.0
159,14,upper,9,177.6,52.186416842984244,52.186416842984244,1,8.0,3.0
160,14,upper,10,177.6,55.18641684298424,55.18641684298424,1,8.0,3.0
161,14,upper,11,177.6,58.186416842984244,58.186416842984244,1,8.0,3.0
162,14,lower,1,177.6,-28.186416842984244,28.186416842984244,1,8.0,3.0
163,14,lower,2,177.6,-31.186416842984244,31.186416842984244,1,8.0,3.0
164,14,lower,3,177.6,-34.186416842984244,34.186416842984244,1,8.0,3.0
165,14,lower,4,177.6,-37.186416842984244,37.186416842984244,1,8.0,3.0
166,14,lower,5,177.6,-40.186416842984244,40.186416842984244,1,8.0,3.0
167,14,lower,6,177.6,-43.186416842984244,43.186416842984244,1,8.0,3.0
168,14,lower,7,177.6,-46.186416842984244,46.186416842984244,1,8.0,3.0
169,14,lower,8,177.6,-49.186416842984244,49.186416842984244,1,8.0,3.0
170,14,lower,9,177.6,-52.186416842984244,52.186416842984244,1,8.0,3.0
171,14,lower,10,177.6,-55.18641684298424,55.18641684298424,1,8.0,3.0
172,14,lower,11,177.6,-58.186416842984244,58.186416842984244,1,8.0,3.0
173,15,upper,1,190.533,20.2657740328054,20.2657740328054,1,8.0,3.0
174,15,upper,2,190.533,23.2657740328054,23.2657740328054,1,8.0,3.0
175,15,upper,3,190.533,26.265774032805403,26.265774032805403,1,8.0,3.0
176,15,upper,4,190.533,29.2657740328054,29.2657740328054,1,8.0,3.0
177,15,upper,5,190.533,32.2657740328054,32.2657740328054,1,8.0,3.0
178,15,upper,6,190.533,35.265774032805396,35.265774032805396,1,8.0,3.0
179,15,upper,7,190.533,38.265774032805396,38.265774032805396,1,8.0,3.0
180,15,upper,8,190.533,41.2657740328054,41.2657740328054,1,8.0,3.0
181,15,upper,9,190.533,44.2657740328054,44.2657740328054,1,8.0,3.0
182,15,upper,10,190.533,47.2657740328054,47.2657740328054,1,8.0,3.0
183,15,upper,11,190.533,50.2657740328054,50.2657740328054,1,8.0,3.0
184,15,upper,12,190.533,53.265774032805396,53.265774032805396,1,8.0,3.0
185,15,upper,13,190.533,56.2657740328054,56.2657740328054,1,8.0,3.0
186,15,upper,14,190.533,59.2657740328054,59.2657740328054,1,8.0,3.0
187,15,lower,1,190.533,-20.2657740328054,20.2657740328054,1,8.0,3.0
188,15,lower,2,190.533,-23.2657740328054,23.2657740328054,1,8.0,3.0
189,15,lower,3,190.533,-26.265774032805403,26.265774032805403,1,8.0,3.0
190,15,lower,4,190.533,-29.2657740328054,29.2657740328054,1,8.0,3.0
191,15,lower,5,190.533,-32.2657740328054,32.2657740328054,1,8.0,3.0
192,15,lower,6,190.533,-35.265774032805396,35.265774032805396,1,8.0,3.0
193,15,lower,7,190.533,-38.265774032805396,38.265774032805396,1,8.0,3.0
194,15,lower,8,190.533,-41.2657740328054,41.2657740328054,1,8.0,3.0
195,15,lower,9,190.533,-44.2657740328054,44.2657740328054,1,8.0,3.0
196,15,lower,10,190.533,-47.2657740328054,47.2657740328054,1,8.0,3.0
197,15,lower,11,190.533,-50.2657740328054,50.2657740328054,1,8.0,3.0
198,15,lower,12,190.533,-53.265774032805396,53.265774032805396,1,8.0,3.0
199,15,lower,13,190.533,-56.2657740328054,56.2657740328054,1,8.0,3.0
200,15,lower,14,190.533,-59.2657740328054,59.2657740328054,1,8.0,3.0
