magnet_id,stack_index,stack_side,magnet_index_on_side,longitudinal_x_mm,transverse_z_mm,distance_to_axis_mm,moment_orientation,magnet_diameter_mm,magnet_thickness_mm
82,12,upper,2,151.733,46.6197989137004,46.6197989137004,1,8.0,3.0
83,12,upper,3,151.733,49.6197989137004,49.6197989137004,1,8.0,3.0
84,12,upper,4,151.733,52.6197989137004,52.6197989137004,1,8.0,3.0
85,12,upper,5,151.733,55.6197989137004,55.6197989137004,1,8.0,3.0
86,12,upper,6,151.733,58.6197989137004,58.6197989137004,1,8.0,3.0
87,12,upper,7,151.733,61.61979891370039,61.61979891370039,1,8.0,3.0
88,12,upper,8,151.733,64.6197989137004,64.6197989137004,1,8.0,3.0
89,12,upper,9,151.733,67.61979891370041,67.61979891370041,1,8.0,3.0
90,12,upper,10,151.733,70.61979891370041,70.61979891370041,1,8.0,3.0
91,12,lower,1,151.733,-43.6197989137004,43.6197989137004,1,8.0,3.0
92,12,lower,2,151.733,-46.6197989137004,46.6197989137004,1,8.0,3.0
93,12,lower,3,151.733,-49.6197989137004,49.6197989137004,1,8.0,3.0
94,12,lower,4,151.733,-52.6197989137004,52.6197989137004,1,8.0,3.0
95,12,lower,5,151.733,-55.6197989137004,55.6197989137004,1,8.0,3.0
96,12,lower,6,151.733,-58.6197989137004,58.6197989137004,1,8.0,3.0
97,12,lower,7,151.733,-61.61979891370039,61.61979891370039,1,8.0,3.0
98,12,lower,8,151.733,-64.6197989137004,64.6197989137004,1,8.0,3.0
99,12,lower,9,151.733,-67.61979891370041,67.61979891370041,1,8.0,3.0
100,12,lower,10,151.733,-70.61979891370041,70.61979891370041,1,8.0,3.0
101,13,upper,1,164.667,31.259377718232763,31.259377718232763,1,8.0,3.0
102,13,upper,2,164.667,34.25937771823276,34.25937771823276,1,8.0,3.0
103,13,upper,3,164.667,37.25937771823276,37.25937771823276,1,8.0,3.0
104,13,upper,4,164.667,40.25937771823276,40.25937771823276,1,8.0,3.0
105,13,upper,5,164.667,43.25937771823277,43.25937771823277,1,8.0,3.0
106,13,upper,6,164.667,46.25937771823276,46.25937771823276,1,8.0,3.0
107,13,upper,7,164.667,49.25937771823276,49.25937771823276,1,8.0,3.0
108,13,upper,8,164.667,52.25937771823277,52.25937771823277,1,8.0,3.0
109,13,upper,9,164.667,55.25937771823276,55.25937771823276,1,8.0,3.0
110,13,upper,10,164.667,58.25937771823276,58.25937771823276,1,8.0,3.0
111,13,upper,11,164.667,61.25937771823277,61.25937771823277,1,8.0,3.0
112,13,upper,12,164.667,64.25937771823276,64.25937771823276,1,8.0,3.0
113,13,upper,13,164.667,67.25937771823276,67.25937771823276,1,8.0,3.0
114,13,lower,1,164.667,-31.259377718232763,31.259377718232763,1,8.0,3.0
115,13,lower,2,164.667,-34.25937771823276,34.25937771823276,1,8.0,3.0
116,13,lower,3,164.667,-37.25937771823276,37.25937771823276,1,8.0,3.0
117,13,lower,4,164.667,-40.25937771823276,40.25937771823276,1,8.0,3.0
118,13,lower,5,164.667,-43.25937771823277,43.25937771823277,1,8.0,3.0
119,13,lower,6,164.667,-46.25937771823276,46.25937771823276,1,8.0,3.0
120,13,lower,7,164.667,-49.25937771823276,49.25937771823276,1,8.0,3.0
121,13,lower,8,164.667,-52.25937771823277,52.25937771823277,1,8.0,3.0
122,13,lower,9,164.667,-55.25937771823276,55.25937771823276,1,8.0,3.0
123,13,lower,10,164.667,-58.25937771823276,58.25937771823276,1,8.0,3.0
124,13,lower,11,164.667,-61.25937771823277,61.25937771823277,1,8.0,3.0
125,13,lower,12,164.667,-64.25937771823276,64.25937771823276,1,8.0,3.0
126,13,lower,13,164.667,-67.25937771823276,67.25937771823276,1,8.0,3.0
127,14,upper,1,177.6,33.66228727394573,33.66228727394573,1,8.0,3.0
128,14,upper,2,177.6,36.66228727394572,36.66228727394572,1,8.0,3.0
129,14,upper,3,177.6,39.66228727394572,39.66228727394572,1,8.0,3.0
130,14,upper,4,177.6,42.66228727394572,42.66228727394572,1,8.0,3.0
131,14,upper,5,177.6,45.66228727394572,45.66228727394572,1,8.0,3.0
132,14,upper,6,177.6,48.66228727394572,48.66228727394572,1,8.0,3.0
133,14,upper,7,177.6,51.66228727394572,51.66228727394572,1,8.0,3.0
134,14,upper,8,177.6,54.66228727394572,54.66228727394572,1,8.0,3.0
135,14,upper,9,177.6,57.66228727394573,57.66228727394573,1,8.0,3.0
136,14,upper,10,177.6,60.66228727394572,60.66228727394572,1,8.0,3.0
137,14,upper,11,177.6,63.66228727394572,63.66228727394572,1,8.0,3.0
138,14,upper,12,177.6,66.66228727394572,66.66228727394572,1,8.0,3.0
139,14,upper,13,177.6,69.66228727394572,69.66228727394572,1,8.0,3.0
140,14,upper,14,177.6,72.66228727394572,72.66228727394572,1,8.0,3.0
141,14,upper,15,177.6,75.66228727394572,75.66228727394572,1,8.0,3.0
142,14,lower,1,177.6,-33.66228727394573,33.66228727394573,1,8.0,3.0
143,14,lower,2,177.6,-36.66228727394572,36.66228727394572,1,8.0,3.0
144,14,lower,3,177.6,-39.66228727394572,39.66228727394572,1,8.0,3.0
145,14,lower,4,177.6,-42.66228727394572,42.66228727394572,1,8.0,3.0
146,14,lower,5,177.6,-45.66228727394572,45.66228727394572,1,8.0,3.0
147,14,lower,6,177.6,-48.66228727394572,48.66228727394572,1,8.0,3.0
148,14,lower,7,177.6,-51.66228727394572,51.66228727394572,1,8.0,3.0
149,14,lower,8,177.6,-54.66228727394572,54.66228727394572,1,8.0,3.0
150,14,lower,9,177.6,-57.66228727394573,57.66228727394573,1,8.0,3.0
151,14,lower,10,177.6,-60.66228727394572,60.66228727394572,1,8.0,3.0
152,14,lower,11,177.6,-63.66228727394572,63.66228727394572,1,8.0,3.0
