z_mm,B_sim_mT
52.49999999999999,-3.126846838949564
52.74999999999999,-3.0922943980648885
52.99999999999999,-3.0573527966799126
53.24999999999999,-3.0220212516049494
53.49999999999999,-2.986299425334247
53.74999999999999,-2.950187408014274
53.99999999999999,-2.9136856990409523
54.24999999999999,-2.8767951883435083
54.49999999999999,-2.8395171374128236
54.74999999999999,-2.8018531601323082
54.99999999999999,-2.7638052034691296
55.24999999999999,-2.7253755280832572
55.49999999999999,-2.6865666889111677
55.74999999999999,-2.6473815157803258
55.99999999999999,-2.6078230941094582
56.24999999999999,-2.5678947457485526
56.49999999999999,-2.5276000100110556
56.74999999999999,-2.486942624949264
56.99999999999999,-2.4459265089221573
57.24999999999999,-2.404555742503094
57.49999999999999,-2.362834550772801
57.74999999999999,-2.320767286040957
57.99999999999999,-2.2783584110374533
58.24999999999999,-2.235612482612087
58.5,-2.1925341359790327
58.75,-2.1491280695399206
59.0,-2.1053990303168386
59.25,-2.061351800023914
59.5,-2.01699118180355
59.75,-1.9723219876506575
60.0,-1.9273490265455828
60.25,-1.882077093313708
60.5,-1.8365109582270192
60.75,-1.7906553573602557
61.0,-1.744514983711615
61.25,-1.6980944790953265
61.5,-1.651398426810862
61.75,-1.6044313450909753
62.0,-1.5571976813283022
62.25,-1.509701807077783
62.5,-1.4619480138298377
62.75,-1.4139405095468889
63.0,-1.3656834159536053
63.25,-1.317180766569088
63.5,-1.2684365054671152
63.75,-1.2194544867485746
64.0,-1.1702384747082861
64.25,-1.120792144676564
64.5,-1.0711190845141243
64.75,-1.0212227967372522
65.0,-0.9711067012485629
65.25,-0.9207741386471802
65.5,-0.8702283740907198
65.75,-0.8194726016801553
66.0,-0.768509949337344
66.25,-0.7173434841438627
66.5,-0.6659762181086676
66.75,-0.6144111143311296
67.0,-0.5626510935250174
67.25,-0.5106990408682079
67.5,-0.458557813142093
67.75,-0.40623024612400166
67.99999999999999,-0.3537191621953401
68.24999999999999,-0.30102737812761543
68.49999999999999,-0.2481577130081471
68.74999999999999,-0.1951129962667903
68.99999999999999,-0.1418960757648529
69.24999999999999,-0.08850982590713603
69.49999999999999,-0.034957155737943724
69.74999999999999,0.018758983018073043
69.99999999999999,0.07263558800932585
70.25,0.1266695984438123
70.5,0.18085788744738246
70.75,0.23519725463196442
71.0,0.28968441891151
71.25,0.34431601160284026
71.5,0.39908856984786306
71.75,0.4539985303928609
72.0,0.5090422237596234
72.25,0.5642158688421735
72.5,0.6195155679616995
72.75,0.6749373024110411
73.0,0.7304769285186923
73.25,0.7861301742607775
73.5,0.8418926364478364
73.75,0.8977597785114847
74.0,0.9537269289141493
74.25,1.0097892802030803
74.5,1.0659418887277032
74.75,1.1221796750371404
75.0,1.1784974249723794
75.25,1.2348897914650732
75.5,1.2913512970523868
75.75,1.3478763371146336
76.0,1.4044591838396256
76.25,1.4610939909148433
76.5,1.517774798945549
76.75,1.5744955415939523
77.0,1.631250052431483
77.25,1.6880320724930789
77.5,1.7448352585192506
77.75,1.8016531918684993
78.0,1.8584793880794943
78.25,1.9153073070592195
78.5,1.9721303638701781
78.75,2.028941940086597
79.0,2.085735395686572
79.25,2.1425040814440934
79.5,2.199241351782029
79.75,2.2559405780443718
80.0,2.3125951621434626
80.25,2.3691985505353856
80.5,2.4257442484744507
80.75,2.482225834495552
81.0,2.5386369750712734
81.25,2.5949714393889294
81.5,2.651223114191249
81.75,2.707386018623208
82.0,2.7634543190266028
82.25,2.819422343623216
82.5,2.875284597027118
82.75,2.9310357745264914
83.0,2.9866707760756204
83.25,3.042184719938179
83.5,3.0975729559237535
83.75,3.152831078160725
84.0,3.207954937350009
84.24999999999999,3.262940652445929
84.49999999999999,3.3177846217125366
84.74999999999999,3.372483533106
84.99999999999999,3.427034373936325
85.24999999999999,3.4814344397645036
85.49999999999999,3.5356813424943776
85.75,3.589773017621773
86.0,3.643707730607169
86.25,3.6974840823418185
86.5,3.7511010136812923
86.75,3.8045578090244736
87.0,3.857854098920267
87.25,3.910989861688689
87.5,3.963965424047318
87.75,4.01678146073866
88.0,4.069438993158393
88.25,4.121939386988996
88.5,4.174284348847662
88.75,4.226475921961874
89.0,4.278516480890204
89.25,4.330408725310259
89.5,4.382155672899561
89.75,4.433760651339217
90.0,4.485227289473852
90.25,4.5365595076648075
90.5,4.5877615073769125
90.75,4.638837760042156
91.0,4.68979299524642
91.25,4.740632188287875
91.5,4.791360547157982
91.75,4.841983498997912
92.0,4.892506676084866
92.25,4.942935901404175
92.5,4.993277173864027
92.75,5.0435366532104755
93.0,5.093720644700792
93.25,5.143835583593365
93.5,5.193888019512201
93.75,5.24388460074363
94.0,5.293832058522135
94.25,5.3437371913611695
94.5,5.3936068494837075
94.75,5.443447919405652
95.0,5.493267308723659
95.25,5.543071931156936
95.5,5.59286869189053
95.75,5.642664473265292
96.0,5.692466120857328
96.25,5.7422804299871215
96.5,5.792114132695875
96.75,5.841973885223768
97.0,5.891866256022
97.25,5.941797714327513
97.5,5.991774619326312
97.75,6.041803209928287
98.0,6.091889595173353
98.25,6.142039745285805
98.5,6.1922594833906075
98.75,6.2425544779025035
99.0,6.292930235595794
99.25,6.343392095359784
99.5,6.393945222642074
99.75,6.44459460457914
99.99999999999999,6.495345045811003
100.24999999999999,6.546201164974208
100.49999999999999,6.597167391864941
100.74999999999999,6.648247965261704
100.99999999999999,6.6994469313948475
101.24999999999999,6.75076814304805
101.5,6.802215259274948
101.75,6.853791745712255
102.0,6.90550087546897
102.25,6.95734573056972
102.5,7.009329203928836
102.75,7.061454001830396
103.0,7.113722646888394
103.25,7.166137481459968
103.5,7.2187006714839015
103.75,7.271414210715618
104.0,7.324279925329348
104.25,7.377299478857572
104.5,7.430474377437339
104.75,7.483805975332843
105.0,7.537295480703379
105.25,7.590943961585696
105.5,7.644752352059855
105.75,7.698721458567673
106.0,7.7528519663531945
106.25,7.807144445994835
106.5,7.861599359999286
106.75,7.9162170694277
107.0,7.970997840525315
107.25,8.025941851326241
107.5,8.081049198205895
107.75,8.136319902354346
108.0,8.191753916144682
108.25,8.247351129371443
108.5,8.303111375335119
108.75,8.359034436749782
109.0,8.415120051452009
109.25,8.471367917890348
109.5,8.527777700375788
109.75,8.584349034075023
110.0,8.641081529729385
110.25,8.69797477808377
110.5,8.755028354011191
110.75,8.812241820319954
111.0,8.869614731231822
111.25,8.92714663552104
111.5,8.984837079305446
111.75,9.0426856084824
112.0,9.100691770803728
112.25,9.15885511758543
112.5,9.21717520504923
112.75,9.275651595294717
113.0,9.33428385690227
113.25,9.393071565168366
113.5,9.452014301976563
113.75,9.51111165530863
114.0,9.570363218402125
114.25,9.629768588561884
114.5,9.68932736563444
114.75,9.749039150155815
115.0,9.808903541184424
115.25,9.86892013383238
115.5,9.9290885165095
115.75,9.989408267895916
116.0,10.04987895366025
116.25,10.110500122941593
116.5,10.17127130461461
116.75,10.232192003358376
117.0,10.293261695550324
