atom_index,initial_velocity_m_s,in_0_to_210mps_design_window,initially_below_50mps,ideal_final_position_mm,ideal_final_velocity_m_s,ideal_exited_185mm,ideal_success_final_0_to_50mps,run05_200_magnets_final_position_mm,run05_200_magnets_final_velocity_m_s,run05_200_magnets_exited_185mm,run05_200_magnets_success_final_0_to_50mps
3953,235.1113382148856,False,False,185.00000000000634,233.9589129347968,True,False,185.00000000000645,233.9633090291173,True,False
3954,317.62162344015974,False,False,185.0,317.500886670681,True,False,184.99999999999997,317.5009600952744,True,False
3955,353.99397020344577,False,False,185.0,353.92440797859047,True,False,185.0,353.92443651089343,True,False
3956,213.86233721369337,False,False,185.00000000000009,203.3107675045671,True,False,185.00000000000017,203.61476023141125,True,False
3957,379.08777643289415,False,False,185.00000000000045,379.0373115712596,True,False,185.00000000000048,379.0373282210899,True,False
3958,258.3090466571613,False,False,185.00000000000026,257.85175523965387,True,False,185.00000000000014,257.8525517373674,True,False
3959,292.4797622725153,False,False,185.00000000000458,292.2863944146069,True,False,185.0000000000046,292.2865624049596,True,False
3960,73.85437719587422,True,False,185.0,32.798434086990355,True,True,185.0,32.495141067300615,True,True
3961,154.97263563158737,True,False,185.0,33.16399468947579,True,True,185.0,32.92820107991097,True,True
3962,290.28911864398015,False,False,185.00000000000009,290.0866530701346,True,False,185.00000000000006,290.086835356249,True,False
3963,203.3032412527455,True,False,185.0,33.16716155369773,True,True,185.0,32.932291402514004,True,True
3964,345.54382536877307,False,False,185.00000000000006,345.465572845904,True,False,185.00000000000003,345.465607650815,True,False
3965,317.16086776347964,False,False,185.0,317.039180802439,True,False,185.0,317.0392552221129,True,False
3966,230.60547936780665,False,False,185.00000000000054,229.1144593932955,True,False,185.00000000000057,229.1215342029335,True,False
3967,360.7214372076247,False,False,185.00000000000162,360.6578623847292,True,False,185.00000000000165,360.6578868780616,True,False
3968,579.4489059220708,False,False,185.0,579.4399620455538,True,False,185.0,579.4399631066235,True,False
3969,192.5783494699616,True,False,185.0,33.166958196357434,True,True,185.0,32.93208537019963,True,True
3970,201.96379503452096,True,False,185.0,33.167138585425,True,True,185.0,32.93224604636557,True,True
3971,345.10792254786,False,False,185.00000000000003,345.0291815636216,True,False,185.00000000000003,345.02921674344475,True,False
3972,240.25992560433795,False,False,185.00000000001074,239.36362254929585,True,False,185.00000000001089,239.36638266954213,True,False
3973,334.6223960965768,False,False,185.0000000000024,334.53049866082046,True,False,185.0000000000024,334.530544480836,True,False
3974,452.95586605683104,False,False,185.00000000000023,452.93245832026395,True,False,185.00000000000026,452.932463075073,True,False
3975,221.79046837607564,False,False,185.00000000000009,218.82742899672434,True,False,185.00000000000006,218.85245726647946,True,False
3976,215.22197750948345,False,False,185.00000000000085,207.69536087615174,True,False,185.0000000000002,207.8483394301213,True,False
3977,365.785309888002,False,False,185.00000000000017,365.7257800566866,True,False,185.00000000000017,365.725801994876,True,False
3978,150.90034989117098,True,False,185.0,33.163124487687256,True,True,185.0,32.92694322515052,True,True
3979,255.7176670740444,False,False,185.0,255.22088433080367,True,False,185.0,255.22181178056107,True,False
